x	left	right
0.0	7.650959043784084e-35	9.18e-321
0.045112781954887216	3.05975350265127e-34	1.508293e-318
0.09022556390977443	1.2083731800897402e-33	2.43518415e-316
0.13533834586466165	4.71259141618777e-33	3.862556953e-314
0.18045112781954886	1.814941251039143e-32	6.018877415255e-312
0.22556390977443608	6.902547896652404e-32	9.2141147371924e-310
0.2706766917293233	2.592390131560608e-31	1.3857639176595086e-307
0.3157894736842105	9.614691716634777e-31	2.0474928677154476e-305
0.3609022556390977	3.5213925511981295e-30	2.972029128753621e-303
0.40601503759398494	1.2736133193578964e-29	4.238197988970979e-301
0.45112781954887216	4.548883523976738e-29	5.937545298969232e-299
0.49624060150375937	1.6044127868862388e-28	8.17203365153261e-297
0.5413533834586466	5.5881941443028605e-28	1.1049709797716756e-294
0.5864661654135338	1.922077658561771e-27	1.467807536959535e-292
0.631578947368421	6.528515640508487e-27	1.9155119694757378e-290
0.6766917293233082	2.1897878439303482e-26	2.455829106162702e-288
0.7218045112781954	7.253267686329285e-26	3.0932066120924624e-286
0.7669172932330827	2.3725176075470523e-25	3.827517921952281e-284
0.8120300751879699	7.6635369586891965e-25	4.652892849951219e-282
0.8571428571428571	2.44451744912739e-24	5.556820720212116e-280
0.9022556390977443	7.700183955939766e-24	6.519694330847938e-278
0.9473684210526315	2.3952625968500062e-23	7.514941420958892e-276
0.9924812030075187	7.357821345948126e-23	8.509841670300186e-274
1.037593984962406	2.2319754726425155e-22	9.467054464521372e-272
1.0827067669172932	6.68611235713056e-22	1.0346793625329087e-269
1.1278195488721803	1.9778893706501978e-21	1.1109492330611396e-267
1.1729323308270676	5.777958205358654e-21	1.1718719405293706e-265
1.218045112781955	1.6668283137802023e-20	1.2144051858451193e-263
1.263157894736842	4.748445037325253e-20	1.2363589757930043e-261
1.3082706766917291	1.335844895637094e-19	1.2365824385764429e-259
1.3533834586466165	3.711117701638988e-19	1.215063789261603e-257
1.3984962406015038	1.0181165457791399e-18	1.1729313595576143e-255
1.443609022556391	2.758254501161082e-18	1.1123555667011219e-253
1.488721804511278	7.379301403149093e-18	1.036363675978115e-251
1.5338345864661653	1.9495762980672534e-17	9.485893587975721e-250
