tree_number	newick	group_spans	strengths
1	(1,2,(3,4,5,6,(((7,8,9,10,(11,((12,13,14,(15,16,17)15-17,18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23,24)3-24)1-24;	1-24;3-24;7-23;7-21;7-20;11-20;12-20;12-19;15-17	1.7321;1.7321;1.7321;1.7321;1.7321;1.0;1.0;1.4142;1.4142
2	(1,2,(3,4,5,6,((((7,8,9,10,11,(12,13,14,(15,16,17)15-17,18,19)12-19)7-19,20)7-20,21)7-21,22,23)7-23,24)3-24)1-24;	1-24;3-24;7-23;7-21;7-20;7-19;12-19;15-17	1.7321;1.7321;1.7321;1.7321;1.7321;1.4142;1.4142;1.4142
3	(1,2,(3,4,5,6,(((((7,8,9,10,11,12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23,24)3-24)1-24;	1-24;3-24;7-23;7-21;7-20;7-19;7-15	1.7321;1.7321;1.7321;1.7321;1.7321;1.4142;1.0
