span_id_a	span_id_b
3-11	4-13
3-11	5-14
3-13	5-14
4-13	5-14
4-6	5-11
4-6	5-14
4-6	5-9
4-6	6-7
4-7	5-11
4-7	5-14
4-7	5-9
