x	left	right
0.0	7.196313451761135e-28	5.543847768492377e-51
0.10526315789473684	4.292309396023618e-27	1.8026362832846333e-50
0.21052631578947367	2.4918433716895738e-26	5.825088962474752e-50
0.3157894736842105	1.4079889191927157e-25	1.8706591335494782e-49
0.42105263157894735	7.743307535677153e-25	5.9701383743989294e-49
0.5263157894736842	4.144790222537125e-24	1.893528202022951e-48
0.631578947368421	2.1593715604188084e-23	5.968384593397341e-48
0.7368421052631579	1.094966863080001e-22	1.8695602496142017e-47
0.8421052631578947	5.404099701883695e-22	5.819956955992429e-47
0.9473684210526315	2.5959391485789017e-21	1.8005190549828114e-46
1.0526315789473684	1.2137086387206121e-20	5.535709779338079e-46
1.1578947368421053	5.523103225966642e-20	1.6914008590839232e-45
1.263157894736842	2.4462490032712583e-19	5.135910211094818e-45
1.3684210526315788	1.0545494531541012e-18	1.5498366988167201e-44
1.4736842105263157	4.4246816742224776e-18	4.647849965631289e-44
1.5789473684210527	1.8069490598929576e-17	1.3852109073426077e-43
1.6842105263157894	7.182218134415956e-17	4.102771659576619e-43
1.789473684210526	2.778561959550493e-16	1.2076370633138601e-42
1.894736842105263	1.0462377941439603e-15	3.532589404714238e-42
2.0	3.834330659594747e-15	1.0269458230412863e-41
2.1052631578947367	1.367721199350309e-14	2.9668770268870235e-41
2.2105263157894735	4.748478520336351e-14	8.518226834691616e-41
2.3157894736842106	1.604576001640245e-13	2.4305048840887404e-40
2.4210526315789473	5.277339865989222e-13	6.891939200827504e-40
2.526315789473684	1.6893469273033215e-12	1.94215558976133e-39
2.631578947368421	5.2634646246064815e-12	5.4390649240497726e-39
2.7368421052631575	1.59615014058374e-11	1.513777719338018e-38
2.8421052631578947	4.7111296767667596e-11	4.186948478385492e-38
2.9473684210526314	1.353398880818858e-10	1.1508819187727198e-37
3.052631578947368	3.784218442076004e-10	3.143848137297596e-37
3.1578947368421053	1.029855907105227e-09	8.534734075342796e-37
3.263157894736842	2.7278905246965078e-09	2.302587118068564e-36
3.3684210526315788	7.032796266899755e-09	6.173618512317155e-36
3.4736842105263155	1.7647382747350654e-08	1.6449820017724936e-35
3.578947368421052	4.310071203987667e-08	4.355922595687936e-35
3.6842105263157894	1.0245693597095602e-07	1.1462960586687619e-34
3.789473684210526	2.370567006967848e-07	2.9978582003320123e-34
3.894736842105263	5.338491770714426e-07	7.791534831042591e-34
4.0	1.1701521941293602e-06	2.0124847049723335e-33
4.105263157894736	2.4964685118276668e-06	5.1658263413704435e-33
4.2105263157894735	5.184096526571302e-06	1.3177853003830557e-32
4.315789473684211	1.0478220850460946e-05	3.3407744631630263e-32
4.421052631578947	2.061460285056509e-05	8.416805626977626e-32
4.526315789473684	3.947684399195969e-05	2.107390805097573e-31
4.631578947368421	7.358665165715852e-05	5.243732223663206e-31
4.7368421052631575	0.0001335231648809287	1.2966822717765345e-30
4.842105263157895	0.00023584701066800014	3.1865760136710644e-30
4.947368421052631	0.0004055458425104256	7.782383614146486e-30
5.052631578947368	0.000678907587072681	1.8888550365496988e-29
5.157894736842105	0.0011065603313782195	4.555984782106302e-29
5.263157894736842	0.001756204898371232	1.0921028571593312e-28
5.368421052631579	0.0027143432273056107	2.601611622624368e-28
5.473684210526315	0.0040861361900329796	6.159125127591967e-28
5.578947368421052	0.005992494082995189	1.4490829036161931e-27
5.684210526315789	0.008563700482905558	3.3881691235205576e-27
5.789473684210526	0.011929354869167772	7.872897015423174e-27
5.894736842105263	0.01620518201067449	1.8180327528865875e-26
6.0	0.02147818527726109	4.1722130575364133e-26
6.105263157894736	0.027792494984028988	9.515440441481527e-26
6.2105263157894735	0.03513878186514499	2.156696110652827e-25
6.315789473684211	0.04344997150642664	4.857878600658633e-25
6.421052631578947	0.052605024636724174	1.0874317334485604e-24
6.526315789473684	0.062440785513529294	2.4191065089779873e-24
6.63157894736842	0.07276968479960844	5.348175131522537e-24
6.7368421052631575	0.08339901832703518	1.175043361448427e-23
6.842105263157895	0.09414633629376082	2.565664168996234e-23
6.947368421052631	0.10484578555769988	5.567283891610779e-23
7.052631578947368	0.11534230035661922	1.2005619350134172e-22
7.157894736842104	0.1254740343800076	2.5729030058740525e-22
7.263157894736842	0.13504750519500336	5.479739364452323e-22
7.368421052631579	0.14381334536687865	1.1598291878340028e-21
7.473684210526315	0.15145208723567388	2.4396403562434686e-21
7.578947368421052	0.15757824739483908	5.0998244580621414e-21
7.684210526315789	0.16176709426759855	1.0594544511717537e-20
7.789473684210526	0.16360273105651835	2.1872931686137234e-20
7.894736842105263	0.16274004649934262	4.4877571499901305e-20
8.0	0.15896845030594697	9.150595188291456e-20
8.105263157894736	0.1522635602952044	1.854244432094567e-19
8.210526315789473	0.1428147754950832	3.7340684029991563e-19
8.31578947368421	0.1310215566153483	7.473003760570014e-19
8.421052631578947	0.11745793795911498	1.4862976062682295e-18
8.526315789473683	0.10281151782201653	2.937744369005137e-18
8.631578947368421	0.08780819185118939	5.770585415788648e-18
8.736842105263158	0.07313605621818839	1.1264797598778164e-17
8.842105263157894	0.05938093000508686	2.1853679045148197e-17
8.947368421052632	0.046982402688981136	4.213309643880916e-17
9.052631578947368	0.03621436898272812	8.072719165834328e-17
9.157894736842104	0.02718902009651153	1.5371419066734312e-16
9.263157894736842	0.01987935430768339	2.9087455601932706e-16
9.368421052631579	0.014153106775369271	5.470098637392819e-16
9.473684210526315	0.009810677897270182	1.0223091242475194e-15
9.578947368421051	0.006620800317827953	1.8987464414175308e-15
9.68421052631579	0.004349708933444693	3.504688047213824e-15
9.789473684210526	0.002781813251761698	6.428792707776863e-15
9.894736842105262	0.0017318019710192382	1.1719447567535423e-14
10.0	0.0010494436460633167	2.123159023049901e-14
10.105263157894736	0.0006190169524242912	3.822571130241244e-14
10.210526315789473	0.00035540801079694313	6.839530632104963e-14
10.31578947368421	0.000198634881085681	1.2161711527015874e-13
10.421052631578947	0.00010809709108198828	2.1491205468561533e-13
10.526315789473683	5.7360137459471234e-05	3.774196773685171e-13
10.631578947368421	2.9872435718632044e-05	6.586974639690273e-13
10.736842105263158	1.5720155987746495e-05	1.1424708798551067e-12
10.842105263157894	9.357347812589433e-06	1.9692551476998135e-12
10.94736842105263	8.185414771696142e-06	3.373312295995045e-12
11.052631578947368	1.1870846094147345e-05	5.7426034513697244e-12
11.157894736842104	2.2359361581294505e-05	9.715358566062477e-12
11.26315789473684	4.465082509146846e-05	1.633452758460502e-11
11.368421052631579	8.85295394633341e-05	2.729305021907007e-11
11.473684210526315	0.00017158476917110302	4.5320566980744156e-11
11.578947368421051	0.00032398315492296385	7.478876719673869e-11
11.68421052631579	0.0005955270149894087	1.2265216304806152e-10
11.789473684210526	0.001065486120386439	1.9989957260597175e-10
