chart	file	width	height	units
tree_likeness	cross_language_tree_likeness.pdf	9	8	in
tree_likeness_syntax_side	cross_language_tree_likeness_syntax_side.pdf	9	8	in
tree_likeness_phonology_side	cross_language_tree_likeness_phonology_side.pdf	9	8	in
families_vs_size	cross_language_families_vs_size.pdf	9	6	in
divide	cross_language_divide.pdf	9	8	in
side_p	cross_language_side_p.pdf	8	7.5	in
edges	cross_language_edges.pdf	13	7	in
convergence	cross_language_convergence.pdf	11	13	in
