tree_number	newick	group_spans	strengths
1	(1,2,3,4,(5,((((6,7,8)6-8,(9,10)9-10)6-10,11,12,13,14,15,16)6-16,17)6-17)5-17)1-17;	1-17;5-17;6-17;6-16;6-10;6-8;9-10	3.0;3.0;3.0;2.2361;1.4142;1.7321;3.0
2	(1,2,3,4,(5,(((6,7,8)6-8,((9,10)9-10,11,12,13,14,15,16)9-16)6-16,17)6-17)5-17)1-17;	1-17;5-17;6-17;6-16;6-8;9-16;9-10	3.0;3.0;3.0;2.2361;1.7321;2.2361;3.0
3	(1,2,3,4,(5,((6,7,8)6-8,(((9,10)9-10,11,12,13,14,15,16)9-16,17)9-17)6-17)5-17)1-17;	1-17;5-17;6-17;6-8;9-17;9-16;9-10	3.0;3.0;3.0;1.7321;1.4142;2.2361;3.0
4	(1,2,3,4,(5,(((6,7,(8,(9,10)9-10)8-10)6-10,11,12,13,14,15,16)6-16,17)6-17)5-17)1-17;	1-17;5-17;6-17;6-16;6-10;8-10;9-10	3.0;3.0;3.0;2.2361;1.4142;1.7321;3.0
5	(1,2,3,4,(5,((6,7,((8,(9,10)9-10)8-10,11,12,13,14,15,16)8-16)6-16,17)6-17)5-17)1-17;	1-17;5-17;6-17;6-16;8-16;8-10;9-10	3.0;3.0;3.0;2.2361;2.0;1.7321;3.0
6	(1,2,3,4,(5,((6,7,(8,((9,10)9-10,11,12,13,14,15,16)9-16)8-16)6-16,17)6-17)5-17)1-17;	1-17;5-17;6-17;6-16;8-16;9-16;9-10	3.0;3.0;3.0;2.2361;2.0;2.2361;3.0
7	(1,2,3,4,(5,(6,7,(((8,(9,10)9-10)8-10,11,12,13,14,15,16)8-16,17)8-17)6-17)5-17)1-17;	1-17;5-17;6-17;8-17;8-16;8-10;9-10	3.0;3.0;3.0;1.7321;2.0;1.7321;3.0
8	(1,2,3,4,(5,(6,7,((8,((9,10)9-10,11,12,13,14,15,16)9-16)8-16,17)8-17)6-17)5-17)1-17;	1-17;5-17;6-17;8-17;8-16;9-16;9-10	3.0;3.0;3.0;1.7321;2.0;2.2361;3.0
9	(1,2,3,4,(5,(6,7,(8,(((9,10)9-10,11,12,13,14,15,16)9-16,17)9-17)8-17)6-17)5-17)1-17;	1-17;5-17;6-17;8-17;9-17;9-16;9-10	3.0;3.0;3.0;1.7321;1.4142;2.2361;3.0
