tree_number	newick	group_spans	group_convergence
1	(1,2,(3,((4,5,(6,7,8,9,10,11)6-11)4-11,12,13)4-13)3-13,14)1-14;	1-14;3-13;4-13;4-11;6-11	0;1;1;3;1
2	(1,2,(((3,4,5,6,7,8)3-8,9)3-9,10,11,12,13)3-13,14)1-14;	1-14;3-13;3-9;3-8	0;1;2;1
