tree_number	newick	group_spans	strengths
1	(1,2,(3,(4,5,6,7,8,9,(10,11,12,(13,14,15)13-15)10-15)4-15,16,17,18,19,20,21)3-21)1-21;	1-21;3-21;4-15;10-15;13-15	1.7321;1.7321;1.0;1.4142;1.7321
2	(1,2,(3,4,5,6,7,8,(9,(10,11,12,(13,14,15)13-15)10-15,16,17,18,19,20,21)9-21)3-21)1-21;	1-21;3-21;9-21;10-15;13-15	1.7321;1.7321;1.4142;1.4142;1.7321
3	(1,2,(3,4,5,6,7,8,(9,10,(11,12,(13,14,15)13-15,16)11-16,17,18,19,20,21)9-21)3-21)1-21;	1-21;3-21;9-21;11-16;13-15	1.7321;1.7321;1.4142;1.0;1.7321
