tree_number	newick	group_spans	group_convergence
1	((1,2,3,((((4,5,(((6,7,8,9,10,11)6-11,12,13)6-13,14)6-14)4-14,15)4-15,16)4-16,17)4-17)1-17,18)1-18;	1-18;1-17;4-17;4-16;4-15;4-14;6-14;6-13;6-11	0;2;2;1;3;1;1;1;1
2	((1,2,3,(((((4,5,6)4-6,7,8,9,10,11,12,13,14)4-14,15)4-15,16)4-16,17)4-17)1-17,18)1-18;	1-18;1-17;4-17;4-16;4-15;4-14;4-6	0;2;2;1;3;1;2
