condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	17	31	all		
without_adjacent_spans	all	16	23	all		
all_tests	morphosyntactic	10	7	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	9	5	class	Morphosyntactic	#BC3C29
all_tests	phonological	6	2	class	Phonological	#20845E
without_adjacent_spans	phonological	5	2	class	Phonological	#20845E
all_tests	indeterminate	6	2	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	6	2	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	14	13	bundle	Morphosyntactic + indeterminate	#EE4C97
