span_id_a	span_id_b
1-11	3-13
1-11	3-14
1-11	4-13
1-11	5-14
1-13	3-14
1-13	5-14
3-11	4-13
3-11	5-14
3-13	5-14
3-8	4-11
3-8	4-13
3-8	5-11
3-8	5-14
3-8	5-9
3-8	6-11
3-8	6-9
3-9	4-11
3-9	4-13
3-9	5-11
3-9	5-14
3-9	6-11
4-11	5-14
4-13	5-14
4-6	5-11
4-6	5-14
4-6	5-9
4-6	6-11
4-6	6-7
4-6	6-9
4-7	5-11
4-7	5-14
4-7	5-9
4-7	6-11
4-7	6-9
5-9	6-11
