position	left_summed	left_capped	right_summed	right_capped
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	9	9	0	0
8	19	9	0	0
9	0	0	0	0
10	10	6	3	3
11	16	9	0	0
12	0	0	14	9
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	14	9
19	0	0	23	9
