x	left	right
0.0	2.9129694080147765e-78	2.6750943672281314e-16
0.047619047619047616	1.957389621021994e-76	4.22528864295421e-16
0.09523809523809523	1.2506457482328946e-74	6.653016354893979e-16
0.14285714285714285	7.59813513240392e-73	1.0443010942013559e-15
0.19047619047619047	4.389301240326934e-71	1.6340969083153864e-15
0.23809523809523808	2.411012348335388e-69	2.5490292373545933e-15
0.2857142857142857	1.2592708606921145e-67	3.963845866443877e-15
0.3333333333333333	6.253952028689381e-66	6.144741730015648e-15
0.38095238095238093	2.9532867006135566e-64	9.495884905053201e-15
0.42857142857142855	1.3260880030138323e-62	1.4628917265343797e-14
0.47619047619047616	5.661803007968334e-61	2.2466419227906193e-14
0.5238095238095237	2.2985440755024343e-59	3.439540810978516e-14
0.5714285714285714	8.872920481626835e-58	5.2494283005672444e-14
0.6190476190476191	3.2568369398895946e-56	7.986720439233216e-14
0.6666666666666666	1.1366875768376904e-54	1.2113506899367477e-13
0.7142857142857142	3.772262306899178e-53	1.831539259343376e-13
0.7619047619047619	1.1903600063299444e-51	2.760625573470113e-13
0.8095238095238095	3.571662733068934e-50	4.1480474399492364e-13
0.8571428571428571	1.0190094933854232e-48	6.21333622948518e-13
0.9047619047619047	2.7644051290670206e-47	9.27792655114581e-13
0.9523809523809523	7.130842143282421e-46	1.3810898633725379e-12
1.0	1.749023429731007e-44	2.0494526014094372e-12
1.0476190476190474	4.079116457122831e-43	3.0317874636829435e-12
1.0952380952380951	9.045909821055781e-42	4.470998871965117e-12
1.1428571428571428	1.907454010847089e-40	6.572873908613197e-12
1.1904761904761905	3.8244727430157765e-39	9.632765213498646e-12
1.2380952380952381	7.291296122571537e-38	1.4073158608441351e-11
1.2857142857142856	1.3217629546602027e-36	2.0496378047767422e-11
1.3333333333333333	2.2783376497601526e-35	2.975826430182813e-11
1.380952380952381	3.734205985042807e-34	4.3070806480253955e-11
1.4285714285714284	5.819613286881818e-33	6.214459244270039e-11
1.476190476190476	8.623938587902068e-32	8.938581778199098e-11
1.5238095238095237	1.2151582954010564e-30	1.281677690186337e-10
1.5714285714285714	1.6280799545642002e-29	1.8320358376376438e-10
1.619047619047619	2.0741218885251797e-28	2.610562158542406e-10
1.6666666666666665	2.512514012858448e-27	3.708335725933201e-10
1.7142857142857142	2.8939990409344984e-26	5.251326063099779e-10
1.7619047619047619	3.1695962581397125e-25	7.41316827416235e-10
1.8095238095238093	3.300845373447477e-24	1.043238641672677e-09
1.857142857142857	3.2686023442481236e-23	1.463552833419295e-09
1.9047619047619047	3.07761767558072e-22	2.0468125818805403e-09
1.9523809523809523	2.755388996031405e-21	2.853597292848422e-09
2.0	2.345669625496017e-20	3.965995562821978e-09
2.0476190476190474	1.8987441156072955e-19	5.494860823866022e-09
2.095238095238095	1.4614424235919042e-18	7.589376585820313e-09
2.142857142857143	1.0695784686573567e-17	1.0449618675420378e-08
2.1904761904761902	7.443192748793106e-17	1.4342990650861857e-08
2.238095238095238	4.925173702226345e-16	1.9625644211094757e-08
2.2857142857142856	3.0988425496875216e-15	2.6770289060877347e-08
2.333333333333333	1.8539291863208743e-14	3.640215824071426e-08
2.380952380952381	1.0546356432033688e-13	4.9345339245136134e-08
2.4285714285714284	5.7046292015064e-13	6.668222432124415e-08
2.4761904761904763	2.9340537719567667e-12	8.982949342271892e-08
2.5238095238095237	1.4349090982587959e-11	1.2063484102467537e-07
2.571428571428571	6.672619835626643e-11	1.6149961641650076e-07
2.619047619047619	2.950421386140413e-10	2.1553369155783842e-07
2.6666666666666665	1.2404731972091554e-09	2.867502286358749e-07
2.714285714285714	4.959140296782002e-09	3.8030962043785303e-07
2.761904761904762	1.88512901184446e-08	5.028237511557372e-07
2.8095238095238093	6.81383216255972e-08	6.627339043588032e-07
2.8571428571428568	2.3418412897600456e-07	8.707781591097817e-07
2.9047619047619047	7.65313119448806e-07	1.1405669930841724e-06
2.952380952380952	2.3781351393359797e-06	1.489289077848449e-06
