family_id	family_number	n_spans	newick
family_001	1	11	((1,(2,3,(4,5,6,7,8,9,10,(11,((((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28)4-28)2-28)1-28,29)1-29;
family_002	2	10	(((1,2,3,4,5,6,7,8,9,10,(11,((((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27)1-27,28)1-28,29)1-29;
family_003	3	10	((1,(2,3,(4,5,6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28)4-28)2-28)1-28,29)1-29;
family_004	4	9	(((1,2,(3,(4,(5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19)5-19,20,21,22,23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;
family_005	5	9	(((1,2,(3,(4,5,6,7,8,9,10,(11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;
family_006	6	9	(((1,2,(3,(4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;
family_007	7	9	(((1,2,(3,4,5,6,7,8,9,10,11,(((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25)3-25,26,27)1-27,28)1-28,29)1-29;
family_008	8	9	(((1,2,3,4,5,6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27)1-27,28)1-28,29)1-29;
family_009	9	9	((1,(2,(3,(4,(5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19)5-19,20,21,22,23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;
family_010	10	9	((1,(2,(3,(4,5,6,7,8,9,10,(11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;
