condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	21	40	all		
without_adjacent_spans	all	20	40	all		
all_tests	morphosyntactic	10	5	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	9	5	class	Morphosyntactic	#BC3C29
all_tests	phonological	6	4	class	Phonological	#20845E
without_adjacent_spans	phonological	6	4	class	Phonological	#20845E
all_tests	indeterminate	5	2	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	5	2	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	15	17	bundle	Morphosyntactic + indeterminate	#EE4C97
