tree_number	newick	group_spans	strengths
1	(1,2,3,4,5,(6,((((((7,8,9)7-9,10)7-10,11)7-11,12,13)7-13,14,15,16,17,18,19,20,21,22)7-22,23,24)7-24)6-24,25)1-25;	1-25;6-24;7-24;7-22;7-13;7-11;7-10;7-9	2.0;1.4142;2.0;1.4142;1.4142;1.4142;1.4142;1.4142
2	(1,2,3,4,5,6,(((((((7,8,9)7-9,10)7-10,11)7-11,12,13)7-13,14,15,16,17,18,19,20,21,22)7-22,23,24)7-24,25)7-25)1-25;	1-25;7-25;7-24;7-22;7-13;7-11;7-10;7-9	2.0;1.4142;2.0;1.4142;1.4142;1.4142;1.4142;1.4142
3	(1,2,3,4,5,(6,(7,(8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)8-24)7-24)6-24,25)1-25;	1-25;6-24;7-24;8-24	2.0;1.4142;2.0;1.4142
4	(1,2,3,4,5,6,((7,(8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25)1-25;	1-25;7-25;7-24;8-24	2.0;1.4142;2.0;1.4142
