Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
14	Araona	arao1248	arao1248_v_segmental_vowel.deletion_e.deletion	phonological	segmental	vowel.deletion	NA	e.deletion	4	6	2	0.11	3	0.18	17	18	19	arao1248_verbal	deletion	E-Deletion
15	Araona	arao1248	arao1248_v_segmental_vowel.deletion_maximal_vowel.deletion	phonological	segmental	vowel.deletion	maximal	vowel.deletion	6	14	1	0.05	9	0.53	17	18	19	arao1248_verbal	deletion	V-Syncope Max.
16	Araona	arao1248	arao1248_v_segmental_vowel.deletion_minimal_vowel.deletion	phonological	segmental	vowel.deletion	minimal	vowel.deletion	6	6	5	0.26	1	0.06	17	18	19	arao1248_verbal	deletion	V-Syncope Min.
17	Araona	arao1248	arao1248_v_segmental_vowel.insertion_e.insert	phonological	segmental	vowel.insertion	NA	e.insert	4	15	3	0.16	12	0.71	17	18	19	arao1248_verbal	insertion	E-Insertion
18	Araona	arao1248	arao1248_v_suprasegmental_accent_maximal	phonological	suprasegmental	accent	maximal	NA	4	17	2	0.11	14	0.82	17	18	19	arao1248_verbal	stress	Pitch Accent Max.
19	Araona	arao1248	arao1248_v_suprasegmental_accent_minimal	phonological	suprasegmental	accent	minimal	NA	6	11	1	0.05	6	0.35	17	18	19	arao1248_verbal	stress	Pitch Accent Min.
20	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_maximal	morphosyntactic	ciscategorial.selection	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	morphosyntactic	Ciscat. Sel. Max.
21	Ayautla Mazatec	ayau1235	ayau1235_v_ciscategorial.selection_minimal	morphosyntactic	ciscategorial.selection	NA	minimal	NA	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	morphosyntactic	Ciscat. Sel. Min.
22	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_maximal	indeterminate	deviations	allomorphy	maximal	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	indeterminate	Dev. Biunique. Max.
23	Ayautla Mazatec	ayau1235	ayau1235_v_deviations_allomorphy_minimal	indeterminate	deviations	allomorphy	minimal	NA	15	19	5	0.17	5	0.17	30	31	30	ayau1235_verbal	indeterminate	Dev. Biunique. Min.
24	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_maximal	indeterminate	free.occurrence	NA	maximal	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	indeterminate	Min Free Form Max.
25	Ayautla Mazatec	ayau1235	ayau1235_v_free.occurrence_minimal	indeterminate	free.occurrence	NA	minimal	NA	19	19	3	0.1	1	0.03	30	31	30	ayau1235_verbal	indeterminate	Min Free Form Min.
26	Ayautla Mazatec	ayau1235	ayau1235_v_noninterruption_complex	morphosyntactic	noninterruption	complex	NA	NA	6	28	2	0.07	23	0.77	30	31	30	ayau1235_verbal	morphosyntactic	No-interrupt. Compl.
27	Ayautla Mazatec	ayau1235	ayau1235_v_noninterruption_simplex	morphosyntactic	noninterruption	simplex	NA	NA	15	28	7	0.23	14	0.47	30	31	30	ayau1235_verbal	morphosyntactic	No-interrupt. Simpl.
28	Ayautla Mazatec	ayau1235	ayau1235_v_nonpermutability_rigid	morphosyntactic	nonpermutability	rigid	NA	NA	15	20	2	0.07	6	0.2	30	31	30	ayau1235_verbal	morphosyntactic	Non-permut. Min.
29	Ayautla Mazatec	ayau1235	ayau1235_v_nonpermutability_scopal	morphosyntactic	nonpermutability	scopal	NA	NA	13	21	1	0.03	9	0.3	30	31	30	ayau1235_verbal	morphosyntactic	Non-permut. Max.
