position	left_summed	left_capped	right_summed	right_capped
1	0	9	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	9	9	0	0
6	19	9	0	0
7	0	0	0	0
8	10	6	3	3
9	16	9	0	0
10	0	0	14	9
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	14	9
17	0	0	23	9
