tree_number	newick	group_spans	group_convergence
36	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,((11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;11-19;12-19;12-18;12-15	0;5;2;4;5;1;2;1;2;5;6;1;1
37	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,((11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;11-19;12-19;12-18;15-17	0;5;2;4;5;1;2;1;2;5;6;1;1
38	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(11,((((12,13,14,15)12-15,16,17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;12-20;12-19;12-18;12-15	0;5;2;4;5;1;2;1;2;2;6;1;1
39	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(11,(((12,13,14,(15,16,17)15-17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-8;11-20;12-20;12-19;12-18;15-17	0;5;2;4;5;1;2;1;2;2;6;1;1
40	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,((((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;11-19;11-18;11-12;15-17	0;5;2;4;5;1;2;3;2;5;1;1;1
41	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;11-19;11-18;12-18;12-15	0;5;2;4;5;1;2;3;2;5;1;1;1
42	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;11-19;11-18;12-18;15-17	0;5;2;4;5;1;2;3;2;5;1;1;1
43	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,((11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;11-19;12-19;12-18;12-15	0;5;2;4;5;1;2;3;2;5;6;1;1
44	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,((11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;11-19;12-19;12-18;15-17	0;5;2;4;5;1;2;3;2;5;6;1;1
45	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(11,((((12,13,14,15)12-15,16,17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;12-20;12-19;12-18;12-15	0;5;2;4;5;1;2;3;2;2;6;1;1
46	(1,2,(3,(4,(5,6,(((7,(8,9,10)8-10,(11,(((12,13,14,(15,16,17)15-17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;8-10;11-20;12-20;12-19;12-18;15-17	0;5;2;4;5;1;2;3;2;2;6;1;1
47	(1,2,(3,(4,(5,6,((((((7,8)7-8,9,(10,(11,12)11-12)10-12,13,14,15)7-15,16,17,18,19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-20;7-19;7-15;7-8;10-12;11-12	0;5;2;4;5;1;2;10;1;1;1;1
48	(1,2,(3,(4,(5,6,(((7,8)7-8,9,((10,(11,12)11-12)10-12,13,14,(15,16,17)15-17,18)10-18,(19,20,21)19-21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;	1-24;3-24;4-24;5-23;7-23;7-21;7-8;10-18;10-12;11-12;15-17;19-21	0;5;2;4;5;1;1;2;1;1;1;1
