tree_number	newick	group_spans	group_convergence
1	(1,2,3,4,(((5,6,7,8,(9,((10,11,12,(13,14,15)13-15,16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;9-18;10-18;10-17;13-15	1;1;1;1;1;1;2;1
2	(1,2,3,4,((((5,6,7,8,9,(10,11,12,(13,14,15)13-15,16,17)10-17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;10-17;13-15	1;1;1;1;1;2;1
3	(1,2,3,4,(((((5,6,7,8,9,10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21,22)1-22;	1-22;5-21;5-19;5-18;5-17;5-13	1;1;1;1;1;1
