span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-32	1	32	32	0	1	(root)	(synthetic)	True		#000000
2-26	2	26	25	1	1	suprasegmental accent minimal stress	phonological	False	2	#20845E
2-32	2	32	31	1	1	segmental vowel assimilation maximal vowel copying	phonological	False	1	#20845E
3-26	3	26	24	1	1	suprasegmental accent maximal stress	phonological	False	3	#20845E
6-20	6	20	15	2	1	segmental consonant deletion consonant deletion|segmental vowel assimilation minimal vowel copying	phonological	False	4	#20845E
