tree_number	newick	group_spans	group_convergence
1	((1,(2,3,(4,5,(6,(7,8)7-8)6-8,9)4-9,10)2-10)1-10,11,12,13)1-13;	1-13;1-10;2-10;4-9;6-8;7-8	3;1;1;1;1;3
2	(((1,2,3,4,5,(6,(7,8)7-8)6-8)1-8,9,10)1-10,11,12,13)1-13;	1-13;1-10;1-8;6-8;7-8	3;1;1;1;3
3	((1,(2,3,4,5,6,7,(8,9,10)8-10)2-10)1-10,11,12,13)1-13;	1-13;1-10;2-10;8-10	3;1;1;1
4	(1,2,3,4,5,6,(7,((8,9,10)8-10,11)8-11,12)7-12,13)1-13;	1-13;7-12;8-11;8-10	3;1;2;1
5	(1,2,3,4,5,6,((7,8)7-8,9,10,11,12)7-12,13)1-13;	1-13;7-12;7-8	3;1;3
