tree_number	newick	group_spans	strengths
1	(1,(2,3,4,5,6,7,8,9,10,11,12,(13,14,(((15,(16,17,18,19)16-19)15-19,20)15-20,21)15-21,22,23,24,25)13-25,26,27,28,29,30,31)2-31)1-31;	1-31;2-31;13-25;15-21;15-20;15-19;16-19	2.4495;2.4495;1.4142;2.0;2.0;1.4142;1.7321
2	(1,(2,3,4,5,6,7,8,9,10,11,12,13,14,((((15,(16,17,18,19)16-19)15-19,20)15-20,21)15-21,22,23,24,25,26,27,28)15-28,29,30,31)2-31)1-31;	1-31;2-31;15-28;15-21;15-20;15-19;16-19	2.4495;2.4495;2.0;2.0;2.0;1.4142;1.7321
3	(1,(2,3,4,5,6,7,8,9,10,11,12,(13,14,((15,16,17,18,(19,20)19-20)15-20,21)15-21,22,23,24,25)13-25,26,27,28,29,30,31)2-31)1-31;	1-31;2-31;13-25;15-21;15-20;19-20	2.4495;2.4495;1.4142;2.0;2.0;1.7321
4	(1,(2,3,4,5,6,7,8,9,10,11,12,13,14,(((15,16,17,18,(19,20)19-20)15-20,21)15-21,22,23,24,25,26,27,28)15-28,29,30,31)2-31)1-31;	1-31;2-31;15-28;15-21;15-20;19-20	2.4495;2.4495;2.0;2.0;2.0;1.7321
5	(1,(2,3,4,5,6,7,8,9,10,11,12,13,14,(15,((16,17,18,19)16-19,20,21,22,23,24,25,26,27,28)16-28)15-28,29,30,31)2-31)1-31;	1-31;2-31;15-28;16-28;16-19	2.4495;2.4495;2.0;1.4142;1.7321
6	(1,(2,3,4,5,6,7,8,9,10,11,12,13,14,(15,(16,17,18,(19,20)19-20,21,22,23,24,25,26,27,28)16-28)15-28,29,30,31)2-31)1-31;	1-31;2-31;15-28;16-28;19-20	2.4495;2.4495;2.0;1.4142;1.7321
