condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	12	5	all		
without_adjacent_spans	all	11	5	all		
all_tests	morphosyntactic	4	1	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	4	1	class	Morphosyntactic	#BC3C29
all_tests	phonological	8	4	class	Phonological	#20845E
without_adjacent_spans	phonological	7	4	class	Phonological	#20845E
all_tests	indeterminate	4	2	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	4	2	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	7	2	bundle	Morphosyntactic + indeterminate	#EE4C97
