chart	file	width	height	units
pooled_plot	pooled/hupd1244_verbal_pooled_plot.pdf	39.0781818181818	10.5	cm
pooled_domainplot	pooled/hupd1244_verbal_pooled_domainplot.pdf	39.0781818181818	10.5	cm
pooled_plot_indeterminate	pooled/hupd1244_verbal_pooled_plot_indeterminate.pdf	36.3636363636364	7	cm
pooled_plot_indeterminate_global_layers	pooled/hupd1244_verbal_pooled_plot_indeterminate_global_layers.pdf	36.3636363636364	7	cm
pooled_plot_morphosyntactic	pooled/hupd1244_verbal_pooled_plot_morphosyntactic.pdf	36.3636363636364	7	cm
pooled_plot_morphosyntactic_global_layers	pooled/hupd1244_verbal_pooled_plot_morphosyntactic_global_layers.pdf	36.3636363636364	7	cm
pooled_plot_phonological	pooled/hupd1244_verbal_pooled_plot_phonological.pdf	37.6236363636364	7	cm
pooled_plot_phonological_global_layers	pooled/hupd1244_verbal_pooled_plot_phonological_global_layers.pdf	37.6236363636364	7	cm
boundary_skyline	boundaries/hupd1244_verbal_boundary_skyline.pdf	23.2727272727273	11	in
spanchart	laminar-families/hupd1244_verbal_spanchart.pdf	20.3636363636364	8	in
morsyn_laminar_forest	laminar-families/hupd1244_verbal_morsyn_laminar_forest.pdf	29.0909090909091	14	in
morsyn_tree_01	laminar-families/hupd1244_verbal_morsyn_tree_01.pdf	17.4545454545455	8	in
phon_laminar_forest	laminar-families/hupd1244_verbal_phon_laminar_forest.pdf	29.0909090909091	14	in
phon_tree_01	laminar-families/hupd1244_verbal_phon_tree_01.pdf	17.4545454545455	8	in
indet_laminar_forest	laminar-families/hupd1244_verbal_indet_laminar_forest.pdf	29.0909090909091	14	in
indet_tree_01	laminar-families/hupd1244_verbal_indet_tree_01.pdf	17.4545454545455	8	in
morsyn_indet_laminar_forest	laminar-families/hupd1244_verbal_morsyn_indet_laminar_forest.pdf	29.0909090909091	14	in
morsyn_indet_tree_01	laminar-families/hupd1244_verbal_morsyn_indet_tree_01.pdf	17.4545454545455	8	in
morsyn_indet_tree_02	laminar-families/hupd1244_verbal_morsyn_indet_tree_02.pdf	17.4545454545455	8	in
laminar_overlay	laminar-families/hupd1244_verbal_laminar_overlay.pdf	29.0909090909091	14	in
laminar_overlay_legend	laminar-families/hupd1244_verbal_laminar_overlay_legend.pdf	29.0909090909091	14	in
all_families_labeled	laminar-families/hupd1244_verbal_all_families_labeled.pdf	29.0909090909091	14	in
all_families_labeled_legend	laminar-families/hupd1244_verbal_all_families_labeled_legend.pdf	29.0909090909091	14	in
freqtree	laminar-families/hupd1244_verbal_freqtree.pdf	23.2727272727273	10	in
most_binary_tree	laminar-families/hupd1244_verbal_most_binary_tree.pdf	23.2727272727273	10	in
exemplary_trees_1	laminar-families/hupd1244_verbal_exemplary_trees_1.pdf	111.8	20.77	cm
exemplary_trees_slide_1_tree	laminar-families/hupd1244_verbal_exemplary_trees_slide_1_tree.pdf	19.3934545454545	7.5	in
exemplary_trees_slide_1_evidence	laminar-families/hupd1244_verbal_exemplary_trees_slide_1_evidence.pdf	37.6236363636364	7	cm
exemplary_trees_2	laminar-families/hupd1244_verbal_exemplary_trees_2.pdf	111.8	20.77	cm
exemplary_trees_slide_2_tree	laminar-families/hupd1244_verbal_exemplary_trees_slide_2_tree.pdf	19.3934545454545	7.5	in
exemplary_trees_slide_2_evidence	laminar-families/hupd1244_verbal_exemplary_trees_slide_2_evidence.pdf	37.6236363636364	7	cm
exemplary_trees_3	laminar-families/hupd1244_verbal_exemplary_trees_3.pdf	111.8	20.77	cm
exemplary_trees_slide_3_tree	laminar-families/hupd1244_verbal_exemplary_trees_slide_3_tree.pdf	19.3934545454545	7.5	in
exemplary_trees_slide_3_evidence	laminar-families/hupd1244_verbal_exemplary_trees_slide_3_evidence.pdf	37.6236363636364	7	cm
forestspans_plot	pooled/hupd1244_verbal_forestspans_plot.pdf	49.4545454545455	24	cm
tree_count_by_class	counts-and-chance/hupd1244_verbal_tree_count_by_class.pdf	8	3.8	in
tree_count_bundles	counts-and-chance/hupd1244_verbal_tree_count_bundles.pdf	8	3.8	in
tree_count_all	counts-and-chance/hupd1244_verbal_tree_count_all.pdf	7	5	in
