span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank
1-24	1	24	24	0	3	(root)	(synthetic)	True	
7-19	7	19	13	2	1	FreeOccurrence-Maximal/elsewhere|Length-DisyllabicMinimality	length	False	1
7-20	7	20	14	1	3	FreeOccurrence-Maximal-AFF/2pOBJ	length	False	5
11-19	11	19	9	1	2	FreeOccurrence-Maximal-AFF/IMP2s	length	False	3
11-20	11	20	10	1	2	FreeOccurrence-Maximal-AFF/IMP2p	length	False	4
12-19	12	19	8	1	3	FreeOccurrence-Minimal-AFF/IMP2s	length	False	6
12-20	12	20	9	1	1	FreeOccurrence-Minimal-AFF/IMP2p	length	False	2
