Serial_Order	Language_Name	Language_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Size	Relative_Size	Largest	Position_Total	Tests_Total	Planar_ID	PW_Pattern	Test_Labels
50	Chichewa	nyan1308	nyan1308_v_segmental_segmental	phonological	segmental	segmental	NA	NA	5	6	2	0.04	2	0.11	19	19	57	nyan1308_verbal	NA	Segmental-HiatusResolution-Glide
51	Chichewa	nyan1308	nyan1308_v_segmental_segmental	phonological	segmental	segmental	NA	NA	5	6	2	0.04	2	0.11	19	19	57	nyan1308_verbal	NA	Segmental-HiatusResolution-Deletion
52	Chichewa	nyan1308	nyan1308_v_segmental_segmental	phonological	segmental	segmental	NA	NA	5	8	2	0.04	4	0.21	19	19	57	nyan1308_verbal	NA	Segmental-GlideInsertation
53	Chichewa	nyan1308	nyan1308_v_segmental_segmental	phonological	segmental	segmental	NA	NA	5	8	2	0.04	4	0.21	19	19	57	nyan1308_verbal	NA	Segmental-Assimilation
9	Chichewa	nyan1308	nyan1308_v_interruptability_interruptability	morphosyntactic	interruptability	interruptability	NA	NA	3	12	2	0.04	10	0.53	19	19	57	nyan1308_verbal	NA	NonPermutability-Strict-OM
13	Chichewa	nyan1308	nyan1308_v_permutability_permutability	morphosyntactic	permutability	permutability	NA	NA	3	12	2	0.04	10	0.53	19	19	57	nyan1308_verbal	NA	NonPermutability-Strict-noOM
49	Chichewa	nyan1308	nyan1308_v_segmental_segmental	phonological	segmental	segmental	NA	NA	8	12	1	0.02	5	0.26	19	19	57	nyan1308_verbal	NA	Segmental-VowelHarmony
2	Chichewa	nyan1308	nyan1308_v_biuniquness_biuniquness	morphosyntactic	biuniquness	biuniquness	NA	NA	10	14	1	0.02	5	0.26	19	19	57	nyan1308_verbal	NA	BiuniquenessDeviation-Valency
1	Chichewa	nyan1308	nyan1308_v_biuniquness_biuniquness	morphosyntactic	biuniquness	biuniquness	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	BiuniquenessDeviation-TAMP
3	Chichewa	nyan1308	nyan1308_v_freeoccurrence_morsynminimality_maximal	length	freeoccurrence	morsynminimality	maximal	NA	7	15	4	0.07	9	0.47	19	19	57	nyan1308_verbal	NA	FreeOccurrence-Maximal-AFF/IMP_2sg
6	Chichewa	nyan1308	nyan1308_v_freeoccurrence_morsynminimality_maximal	length	freeoccurrence	morsynminimality	maximal	NA	5	15	7	0.12	11	0.58	19	19	57	nyan1308_verbal	NA	FreeOccurrence-Maximal-AFF/elsewhere
7	Chichewa	nyan1308	nyan1308_v_freeoccurrence_morsynminimality_minimal	length	freeoccurrence	morsynminimality	minimal	NA	8	15	5	0.09	8	0.42	19	19	57	nyan1308_verbal	NA	FreeOccurrence-Minimal-AFF/IMP_2sg
17	Chichewa	nyan1308	nyan1308_v_prosodic_prosodic	phonological	prosodic	prosodic	NA	NA	3	15	1	0.02	13	0.68	19	19	57	nyan1308_verbal	NA	Prosodic-DisyllabicMinimality
18	Chichewa	nyan1308	nyan1308_v_prosodic_tonological	phonological	prosodic	tonological	NA	NA	8	15	5	0.09	8	0.42	19	19	57	nyan1308_verbal	NA	Tonal-RootExtensionHighTone-IMP
19	Chichewa	nyan1308	nyan1308_v_prosodic_tonological	phonological	prosodic	tonological	NA	NA	4	15	8	0.14	12	0.63	19	19	57	nyan1308_verbal	NA	Tonal-ToneDoubling
21	Chichewa	nyan1308	nyan1308_v_prosodic_tonological	phonological	prosodic	tonological	NA	NA	7	15	4	0.07	9	0.47	19	19	57	nyan1308_verbal	NA	Tonal-MeeussensRule
24	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	7	15	4	0.07	9	0.47	19	19	57	nyan1308_verbal	NA	TonePattern2-OM
25	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	8	15	5	0.09	8	0.42	19	19	57	nyan1308_verbal	NA	TonePattern2-noOM
26	Chichewa	nyan1308	nyan1308_v_prosodic_tonotactic	tonosegmental	prosodic	tonotactic	NA	NA	6	15	5	0.09	10	0.53	19	19	57	nyan1308_verbal	NA	TonePattern3
