Language_ID	Flag	Planar_Type	Analysis_Type	Abstract_Type	Domain_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Test_Labels	PW_Pattern	Notes
zenz1235	overfracture	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	Maximal	vowel nasality	4	13	Culm. V-Nasal. Max.	constraint	NA
zenz1235	not.test	verbal	constituency	Suprasegmental	Phonological	Feature culminativity	Minimal	vowel nasality	7	13	Culm. V-Nasal. Min.	constraint	NA
hupd1244	NA	verbal	constituency	Segmental	Phonological	Consonant deletion	NA	consonant.deletion	6	20	Consonant Del.	deletion	NA
arao1248	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	NA	e.deletion	4	6	E-Deletion	deletion	NA
cher1273	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	NA	Final Apocope	2	23	Final Apocope	deletion	NA
sout2991		verbal	constituency	Segmental	Phonological	Vowel-consonant deletion	NA	suffix deletion	1	29	Final Syllable/suffix deletion	deletion	
cher1273	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	NA	H-metathesis.vowel.deletion, h-Metathesis+Vowel Deletion	2	23	H-Metathesis/V-Del.	deletion	NA
yucu1253	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	NA	vowel elision	10	16	V-Elision	deletion	NA
arao1248	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	Maximal	vowel.deletion	6	14	V-Syncope Max.	deletion	NA
arao1248	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	Minimal	vowel.deletion	6	6	V-Syncope Min.	deletion	NA
dura0000	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	Maximal	vowel overwriting after glottal stop	6	29	Vowel Del.	deletion	NA
zenz1235	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	Maximal	vowel elision	3	16	Vowel Elision Max.	deletion	NA
zenz1235	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	Minimal	vowel elision	7	13	Vowel Elision Min.	deletion	NA
dura0000	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	minimal	vowel overwriting after glottal stop	17	26	Vowel Overwrit.	deletion	NA
kaya1330	NA	verbal	constituency	Segmental	Phonological	Consonant deletion	NA	consonant.deletion	12	15		deletion	NA
chac1251	NA	nominal	constituency	Segmental	Phonological	Vowel deletion	NA	apocope	4	12		deletion	NA
chac1251	NA	verbal	constituency	Segmental	Phonological	Consonant deletion	NA	Latent.stop.deletion	8	24		deletion	NA
dura0000	NA	verbal	lexphon	Segmental	Phonological	Vowel-consonant deletion	NA	fast speech reduction	1	28		deletion	
dura0000	NA	nominal	lexphon	Segmental	Phonological	Vowel-consonant deletion	NA	fast speech reduction	1	13		deletion	
chac1251	NA	verbal	lexphon	Segmental	Phonological	Vowel-consonant deletion	NA	transitive marker deletion	7	9		deletion	
dura0000	NA	nominal	constituency	Segmental	Phonological	Vowel deletion	NA	vowel overwriting	8	11		deletion	NA
kaya1330	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	NA	vowel.deletion	12	15		deletion	NA
kiow1266	NA	verbal	constituency	Segmental	Phonological	Vowel deletion	NA	vowel.deletion	29	30		deletion	NA
chac1251	NA	verbal	constituency	Suprasegmental	Phonological	Tone deletion	Minimal	H.deletion	6	27		deletion	NA
ayau1235	NA	verbal	constituency	Segmental	Phonological	Vowel-consonant dissimilation	Maximal	*ɛ.j Constraint negative evidence	13	25	*ɛ.j Constraint Max.	dissimilation	NA
ayau1235	NA	verbal	constituency	Segmental	Phonological	Vowel-consonant dissimilation	Minimal	*ɛ.j Constraint positive evidence	19	19	*ɛ.j Constraint Min.	dissimilation	NA
zenz1235	NA	verbal	constituency	Suprasegmental	Phonological	Declination/Downstep	NA	downstep	1	21	Downstep	dissimilation	NA
teot1238	NA	verbal	constituency	Segmental	Phonological	Consonant dissimilation	NA	glottal dissimilation	3	15	Glottal Diss.	dissimilation	No fracture
teot1238	NA	nominal	constituency	Segmental	Phonological	Consonant dissimilation	Maximal	glottal.dissimilation	3	15	Glottal Diss. Max.	dissimilation	NA
teot1238	NA	nominal	constituency	Segmental	Phonological	Consonant dissimilation	Minimal	glottal.dissimilation	8	9	Glottal Diss. Min.	dissimilation	NA
yucu1253	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	past.tense	10	13	Allomorph. PST	indeterminate	NA
yucu1253	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	valency	10	13	Allomorph. Val.	indeterminate	NA
moco1246	NA	verbal	constituency	Recursion.based	Indeterminate	Asyndetic	Minimal	NA	6	7	Clause Comb. Asynd. Min.	indeterminate	NA
moco1246	NA	verbal	constituency	Recursion.based	Indeterminate	Syndetic	Minimal	nakoʔ.linker	6	14	Clause Comb. Synd. Min.	indeterminate	NA
cent2127	NA	verbal	constituency	Deviations	Indeterminate	Cumulative.exponence	NA	Cumulative exponence and suppletion involving negation	4	12	Cumul. Exp.	indeterminate	NA
teot1238	noncomparable	nominal	constituency	Deviations	Indeterminate	Suppletion	NA	NA	8	8	Dev. Biunique. 	indeterminate	NA
teot1238	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	NA	10	13	Dev. Biunique. 	indeterminate	NA
zenz1235	NA	verbal	constituency	Deviations	Indeterminate	Suppletion	NA	2SG	10	13	Dev. Biunique. 2SG	indeterminate	NA
cher1273	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	Maximal	NA	4	22	Dev. Biunique. Max.	indeterminate	NA
ayau1235	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	Maximal	NA	15	28	Dev. Biunique. Max.	indeterminate	NA
cher1273	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	Minimal	NA	4	13	Dev. Biunique. Min.	indeterminate	NA
ayau1235	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	Minimal	NA	15	19	Dev. Biunique. Min.	indeterminate	NA
dura0000	NA	verbal	constituency	Deviations	Indeterminate	Cumulative.exponence	Maximal	many-to-one	12	23	Dev. Biunique. MTO Max.	indeterminate	NA
dura0000	NA	verbal	constituency	Deviations	Indeterminate	Cumulative.exponence	Minimal	many-to-one	17	17	Dev. Biunique. MTO Min.	indeterminate	NA
dura0000	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	Maximal	one-to-many	13	17	Dev. Biunique. OTM Max.	indeterminate	NA
dura0000	NA	verbal	constituency	Deviations	Indeterminate	Extended.exponence	Minimal	one-to-many	17	17	Dev. Biunique. OTM Min.	indeterminate	NA
moco1246	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	person.marking	6	7	Dev. Biunique. Pers.	indeterminate	NA
moco1246	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	progressive.marking	6	18	Dev. Biunique. Prog.	indeterminate	NA
zenz1235	NA	verbal	constituency	Deviations	Indeterminate	Allomorphy	NA	TAM	10	13	Dev. Biunique. TAM	indeterminate	NA
