family_id	family_number	n_spans	newick
family_001	1	5	(1,2,(3,((4,5,6,(7,8,9,10,11)7-11,12,13,14,15)4-15,16,17,18)4-18)3-18,19,20)1-20;
family_002	2	3	(1,2,3,4,5,(6,(7,8,9,10,11)7-11,12,13,14,15,16,17,18,19)6-19,20)1-20;
