span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-20	1	20	20	0	2	(root)	(synthetic)	True		#000000
3-18	3	18	16	1	1	recursion based asyndetic maximal first second person p	morphosyntactic	False	3	#BC3C29
4-15	4	15	12	1	1	nonpermutability rigid verb conditioned variability	morphosyntactic	False	1	#BC3C29
4-18	4	18	15	2	1	noninterruption simplex|nonpermutability rigid	morphosyntactic	False	2	#BC3C29
6-19	6	19	14	2	1	recursion based asyndetic maximal third person p|recursion based syndetic maximal kan and then	morphosyntactic	False	4	#BC3C29
7-11	7	11	5	1	2	ciscategorial selection	morphosyntactic	False	5	#BC3C29
