span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-17	1	17	17	2	2	ciscategorial selection maximal broad|recursion based maximal tso marked	morphosyntactic	False	6	#BC3C29
1-18	1	18	18	0	2	(root)	(synthetic)	True		#000000
4-6	4	6	3	2	1	nonpermutability scopal|segmental vowel deletion e deletion	morphosyntactic|phonological	False	4	#6E6044
4-14	4	14	11	1	2	recursion based minimal tso marked	indeterminate	False	8	#6F99AD
4-15	4	15	12	3	2	ciscategorial selection maximal narrow|recursion based maximal|segmental vowel insertion e insert	morphosyntactic|phonological	False	7	#6E6044
4-16	4	16	13	1	2	noninterruption complex	morphosyntactic	False	5	#BC3C29
4-17	4	17	14	2	2	free occurrence maximal|suprasegmental accent maximal	indeterminate|phonological	False	9	#488E86
6-11	6	11	6	1	1	suprasegmental accent minimal	phonological	False	1	#20845E
6-13	6	13	8	1	1	ciscategorial selection minimal	morphosyntactic	False	3	#BC3C29
6-14	6	14	9	1	1	segmental vowel deletion maximal vowel deletion	phonological	False	2	#20845E
