group	kind	family_count	n
morphosyntactic	class	1	1615
morphosyntactic	class	2	3385
phonological	class	1	2845
phonological	class	2	2155
indeterminate	class	1	4656
indeterminate	class	2	344
morsyn_indet	bundle	1	695
morsyn_indet	bundle	2	4305
