family_id	span_id
family_001	1-17
family_001	1-18
family_001	4-14
family_001	4-15
family_001	4-16
family_001	4-17
family_001	6-11
family_001	6-13
family_001	6-14
family_002	1-17
family_002	1-18
family_002	4-6
family_002	4-14
family_002	4-15
family_002	4-16
family_002	4-17
