tree_number	newick	group_spans	group_convergence
1	((1,(2,3,(4,5,6,7,8,9,10,(11,((((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;11-27;12-26;12-25;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1;1;1
2	(((1,2,3,4,5,6,7,8,9,10,(11,((((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;11-27;12-26;12-25;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1;1
3	((1,(2,3,(4,5,6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;11-27;12-26;12-25;12-23;14-20;16-17	1;1;1;1;1;1;1;1;1;1
4	(((1,2,(3,(4,(5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19)5-19,20,21,22,23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;4-23;5-19;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
5	(((1,2,(3,(4,5,6,7,8,9,10,(11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;4-23;11-20;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
6	(((1,2,(3,(4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;4-23;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
7	(((1,2,(3,4,5,6,7,8,9,10,11,(((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;12-25;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
8	(((1,2,3,4,5,6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;11-27;12-26;12-25;12-23;14-20;16-17	1;1;1;1;1;1;1;1;1
9	((1,(2,(3,(4,(5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19)5-19,20,21,22,23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;4-23;5-19;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
10	((1,(2,(3,(4,5,6,7,8,9,10,(11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;4-23;11-20;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
11	((1,(2,(3,(4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;4-23;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
12	((1,(2,(3,4,5,6,7,8,9,10,11,(((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;12-25;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
13	((1,(2,3,((4,(5,6,7,8,9,10,11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19)5-19,20,21,22,23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;4-23;5-19;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
14	((1,(2,3,((4,5,6,7,8,9,10,(11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;4-23;11-20;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
15	((1,(2,3,((4,5,6,7,8,9,10,11,((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;4-23;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
16	((1,(2,3,(4,5,6,7,8,9,10,((11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23,24,25,26,27)11-27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;11-27;11-20;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
17	(1,2,3,4,5,(6,7,8,9,10,(11,((((12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28,29)6-29)1-29;	1-29;6-29;11-27;12-26;12-25;12-23;12-18;13-17;16-17	1;1;1;1;1;1;1;1;1
18	(((1,2,(3,(4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;4-23;11-20;14-20;16-17	1;1;1;1;1;1;1;1
19	(((1,2,(3,(4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;4-23;12-23;14-20;16-17	1;1;1;1;1;1;1;1
20	(((1,2,(3,4,5,6,7,8,9,10,11,((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25)3-25,26,27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;3-25;12-25;12-23;14-20;16-17	1;1;1;1;1;1;1;1
21	(((1,2,3,4,5,6,7,8,9,10,((11,(12,(13,14,15,(16,17)16-17)13-17,18)12-18,19,20)11-20,21,22,23,24,25,26,27)11-27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;11-27;11-20;12-18;13-17;16-17	1;1;1;1;1;1;1;1
22	((1,(2,(3,(4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;4-23;11-20;14-20;16-17	1;1;1;1;1;1;1;1
23	((1,(2,(3,(4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;4-23;12-23;14-20;16-17	1;1;1;1;1;1;1;1
24	((1,(2,(3,4,5,6,7,8,9,10,11,((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25)3-25,26,27,28)2-28)1-28,29)1-29;	1-29;1-28;2-28;3-25;12-25;12-23;14-20;16-17	1;1;1;1;1;1;1;1
25	((1,(2,3,((4,5,6,7,8,9,10,(11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;4-23;11-20;14-20;16-17	1;1;1;1;1;1;1;1
26	((1,(2,3,((4,5,6,7,8,9,10,11,(12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23)4-23,24,25,26,27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;4-23;12-23;14-20;16-17	1;1;1;1;1;1;1;1
27	((1,(2,3,(4,5,6,7,8,9,10,((11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23,24,25,26,27)11-27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;11-27;11-20;14-20;16-17	1;1;1;1;1;1;1;1
28	((1,(2,3,(4,5,6,7,8,9,10,(11,12,13,((14,15,(16,17)16-17,18,19,20)14-20,21,22,23,24,25,26,27)14-27)11-27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;11-27;14-27;14-20;16-17	1;1;1;1;1;1;1;1
29	((1,(2,3,(4,5,6,7,8,9,10,(11,12,13,(14,15,16,((17,18,19,20,21,22,23,24,25,26)17-26,27)17-27)14-27)11-27,28)4-28)2-28)1-28,29)1-29;	1-29;1-28;2-28;4-28;11-27;14-27;17-27;17-26	1;1;1;1;1;1;1;1
30	(1,2,3,4,5,(6,7,8,9,10,(11,(((12,13,(14,15,(16,17)16-17,18,19,20)14-20,21,22,23)12-23,24,25)12-25,26)12-26,27)11-27,28,29)6-29)1-29;	1-29;6-29;11-27;12-26;12-25;12-23;14-20;16-17	1;1;1;1;1;1;1;1
31	(((1,2,3,4,5,6,7,8,9,10,((11,12,13,(14,15,(16,17)16-17,18,19,20)14-20)11-20,21,22,23,24,25,26,27)11-27)1-27,28)1-28,29)1-29;	1-29;1-28;1-27;11-27;11-20;14-20;16-17	1;1;1;1;1;1;1
