family_id	family_number	n_spans	newick
family_001	1	15	((1,2,3,4,5,(6,((((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;
family_002	2	15	(1,2,3,4,5,((6,((((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;
family_003	3	14	(((1,2,3,4,5,(6,((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;
family_004	4	14	((1,2,3,4,5,((6,((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;
family_005	5	14	(1,2,3,4,5,(((6,((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;
family_006	6	12	(((1,2,3,4,5,((6,(((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24)1-24,25,26,27)1-27,28)1-28;
family_007	7	12	((1,2,3,4,5,(((6,(((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27)1-27,28)1-28;
family_008	8	12	((1,2,3,4,5,(6,((((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;
family_009	9	12	(1,2,3,4,5,((((6,(((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27,28)6-28)1-28;
family_010	10	12	(1,2,3,4,5,((6,((((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;
family_011	11	11	(((1,2,3,4,5,(6,((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;
family_012	12	11	((1,2,3,4,5,((6,((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;
family_013	13	11	((1,2,3,4,5,(6,((((((7,((8,9,10,11,12)8-12,13,14,15,16)8-16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;
family_014	14	11	(1,2,3,4,5,(((6,((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;
