selection	rank	family_id
consensus_all	1	family_004
most_binary	1	family_001
exemplary	1	family_001
exemplary	2	family_028
exemplary	3	family_025
exemplary	4	family_004
exemplary	5	family_005
exemplary	6	family_012
exemplary	7	family_024
