position	left_summed	left_capped	right_summed	right_capped
1	3	2	0	0
2	0	0	0	0
3	3	2	0	0
4	0	0	0	0
5	0	0	0	0
6	4	2	0	0
7	0	0	2	2
8	0	0	0	0
9	0	0	2	2
10	0	0	0	0
11	0	0	3	2
12	0	0	0	0
13	0	0	3	2
