dataset	span_id	convergence_rank	left	right	relative_left	relative_right	size	relative_size	contains_root	convergence	share_of_tests	domain_types
arao1248_verbal	4-15	1	4	15	-2	9	12	0.6667	y	3	0.1579	morphosyntactic|phonological
arao1248_verbal	4-6	2	4	6	-2	0	3	0.1667	y	2	0.1053	morphosyntactic|phonological
arao1248_verbal	4-17	2	4	17	-2	11	14	0.7778	y	2	0.1053	indeterminate|phonological
arao1248_verbal	1-17	2	1	17	-5	11	17	0.9444	y	2	0.1053	morphosyntactic
arao1248_verbal	6-11	3	6	11	0	5	6	0.3333	y	1	0.0526	phonological
arao1248_verbal	6-13	3	6	13	0	7	8	0.4444	y	1	0.0526	morphosyntactic
arao1248_verbal	6-14	3	6	14	0	8	9	0.5	y	1	0.0526	phonological
arao1248_verbal	4-14	3	4	14	-2	8	11	0.6111	y	1	0.0526	indeterminate
arao1248_verbal	4-16	3	4	16	-2	10	13	0.7222	y	1	0.0526	morphosyntactic
ayau1235_verbal	15-28	1	15	28	-4	9	14	0.4516	y	7	0.2333	indeterminate|morphosyntactic|phonological
ayau1235_verbal	15-19	2	15	19	-4	0	5	0.1613	y	5	0.1667	indeterminate|morphosyntactic|phonological
ayau1235_verbal	15-20	3	15	20	-4	1	6	0.1935	y	2	0.0667	morphosyntactic|phonological
ayau1235_verbal	15-21	3	15	21	-4	2	7	0.2258	y	2	0.0667	phonological
ayau1235_verbal	6-28	3	6	28	-13	9	23	0.7419	y	2	0.0667	indeterminate|morphosyntactic
cent2127_verbal	2-16	1	2	16	0	14	15	0.7143	y	9	0.4737	indeterminate|morphosyntactic|phonological
cent2127_verbal	2-20	2	2	20	0	18	19	0.9048	y	4	0.2105	indeterminate|morphosyntactic|phonological
cent2127_verbal	2-3	3	2	3	0	1	2	0.0952	y	1	0.0526	morphosyntactic
cent2127_verbal	2-4	3	2	4	0	2	3	0.1429	y	1	0.0526	morphosyntactic
cent2127_verbal	2-7	3	2	7	0	5	6	0.2857	y	1	0.0526	morphosyntactic
cent2127_verbal	11-16	3	11	16	9	14	6	0.2857	n	1	0.0526	indeterminate
cent2127_verbal	4-12	3	4	12	2	10	9	0.4286	n	1	0.0526	indeterminate
cent2127_verbal	4-16	3	4	16	2	14	13	0.619	n	1	0.0526	morphosyntactic
chac1251_nominal	3-4	1	3	4	-1	0	2	0.1667	y	6	0.2308	morphosyntactic|phonological
chac1251_nominal	3-6	2	3	6	-1	2	4	0.3333	y	3	0.1154	indeterminate|morphosyntactic|phonological
chac1251_nominal	3-12	2	3	12	-1	8	10	0.8333	y	3	0.1154	indeterminate|phonological
chac1251_nominal	4-12	3	4	12	0	8	9	0.75	y	2	0.0769	morphosyntactic|phonological
chac1251_nominal	1-12	3	1	12	-3	8	12	1.0	y	2	0.0769	morphosyntactic|phonological
chac1251_verbal	7-10	1	7	10	-1	2	4	0.1429	y	4	0.1053	indeterminate|morphosyntactic|phonological
chac1251_verbal	7-24	1	7	24	-1	16	18	0.6429	y	4	0.1053	indeterminate|morphosyntactic|phonological
chac1251_verbal	7-8	2	7	8	-1	0	2	0.0714	y	3	0.0789	phonological
chac1251_verbal	8-24	2	8	24	0	16	17	0.6071	y	3	0.0789	indeterminate|morphosyntactic|phonological
chac1251_verbal	6-24	2	6	24	-2	16	19	0.6786	y	3	0.0789	indeterminate|morphosyntactic
chac1251_verbal	7-11	3	7	11	-1	3	5	0.1786	y	2	0.0526	indeterminate|morphosyntactic
chac1251_verbal	6-17	3	6	17	-2	9	12	0.4286	y	2	0.0526	morphosyntactic
chac1251_verbal	7-22	3	7	22	-1	14	16	0.5714	y	2	0.0526	indeterminate|morphosyntactic
chac1251_verbal	7-25	3	7	25	-1	17	19	0.6786	y	2	0.0526	indeterminate|phonological
cher1273_verbal	2-23	1	2	23	-10	11	22	0.9167	y	5	0.2381	indeterminate|phonological
cher1273_verbal	2-22	2	2	22	-10	10	21	0.875	y	3	0.1429	morphosyntactic
cher1273_verbal	4-13	3	4	13	-8	1	10	0.4167	y	1	0.0476	indeterminate
cher1273_verbal	11-21	3	11	21	-1	9	11	0.4583	y	1	0.0476	phonological
cher1273_verbal	12-22	3	12	22	0	10	11	0.4583	y	1	0.0476	morphosyntactic
cher1273_verbal	9-22	3	9	22	-3	10	14	0.5833	y	1	0.0476	indeterminate
cher1273_verbal	7-21	3	7	21	-5	9	15	0.625	y	1	0.0476	phonological
cher1273_verbal	2-17	3	2	17	-10	5	16	0.6667	y	1	0.0476	morphosyntactic
cher1273_verbal	7-22	3	7	22	-5	10	16	0.6667	y	1	0.0476	phonological
cher1273_verbal	5-21	3	5	21	-7	9	17	0.7083	y	1	0.0476	phonological
cher1273_verbal	5-22	3	5	22	-7	10	18	0.75	y	1	0.0476	phonological
cher1273_verbal	2-20	3	2	20	-10	8	19	0.7917	y	1	0.0476	indeterminate
cher1273_verbal	4-22	3	4	22	-8	10	19	0.7917	y	1	0.0476	indeterminate
cher1273_verbal	1-21	3	1	21	-11	9	21	0.875	y	1	0.0476	morphosyntactic
cher1273_verbal	1-24	3	1	24	-11	12	24	1.0	y	1	0.0476	morphosyntactic
dura0000_nominal	7-8	1	7	8	-1	0	2	0.1538	y	3	0.1579	morphosyntactic|phonological
dura0000_nominal	1-13	1	1	13	-7	5	13	1.0	y	3	0.1579	morphosyntactic|phonological
dura0000_nominal	8-11	2	8	11	0	3	4	0.3077	y	2	0.1053	phonological
dura0000_nominal	6-8	3	6	8	-2	0	3	0.2308	y	1	0.0526	indeterminate
dura0000_nominal	8-10	3	8	10	0	2	3	0.2308	y	1	0.0526	phonological
dura0000_nominal	4-9	3	4	9	-4	1	6	0.4615	y	1	0.0526	morphosyntactic
dura0000_nominal	7-12	3	7	12	-1	4	6	0.4615	y	1	0.0526	morphosyntactic
dura0000_nominal	1-8	3	1	8	-7	0	8	0.6154	y	1	0.0526	morphosyntactic
dura0000_nominal	2-10	3	2	10	-6	2	9	0.6923	y	1	0.0526	morphosyntactic
dura0000_nominal	1-10	3	1	10	-7	2	10	0.7692	y	1	0.0526	morphosyntactic
dura0000_verbal	16-17	1	16	17	-1	0	2	0.069	y	1	0.037	morphosyntactic
dura0000_verbal	13-17	1	13	17	-4	0	5	0.1724	y	1	0.037	indeterminate
dura0000_verbal	12-18	1	12	18	-5	1	7	0.2414	y	1	0.037	phonological
dura0000_verbal	14-20	1	14	20	-3	3	7	0.2414	y	1	0.037	morphosyntactic
dura0000_verbal	11-20	1	11	20	-6	3	10	0.3448	y	1	0.037	morphosyntactic
dura0000_verbal	17-26	1	17	26	0	9	10	0.3448	y	1	0.037	phonological
dura0000_verbal	17-27	1	17	27	0	10	11	0.3793	y	1	0.037	phonological
dura0000_verbal	12-23	1	12	23	-5	6	12	0.4138	y	1	0.037	indeterminate
dura0000_verbal	12-25	1	12	25	-5	8	14	0.4828	y	1	0.037	indeterminate
dura0000_verbal	14-27	1	14	27	-3	10	14	0.4828	y	1	0.037	indeterminate
dura0000_verbal	5-19	1	5	19	-12	2	15	0.5172	y	1	0.037	morphosyntactic
dura0000_verbal	12-26	1	12	26	-5	9	15	0.5172	y	1	0.037	morphosyntactic
dura0000_verbal	11-27	1	11	27	-6	10	17	0.5862	y	1	0.037	indeterminate
dura0000_verbal	4-23	1	4	23	-13	6	20	0.6897	y	1	0.037	morphosyntactic
dura0000_verbal	3-25	1	3	25	-14	8	23	0.7931	y	1	0.037	morphosyntactic
dura0000_verbal	6-29	1	6	29	-11	12	24	0.8276	y	1	0.037	phonological
dura0000_verbal	4-28	1	4	28	-13	11	25	0.8621	y	1	0.037	morphosyntactic
dura0000_verbal	1-27	1	1	27	-16	10	27	0.931	y	1	0.037	phonological
