dataset	position	relative_position	side	summed	scaled	jump_p_value_ge_observed	jump_significant
mart1259_verbal	3	-15	left	2	0.3333	0.595	n
mart1259_verbal	3	-15	right	0	0.0	0.919	n
mart1259_verbal	4	-14	left	6	1.0	0.075	n
mart1259_verbal	4	-14	right	0	0.0	0.9016	n
mart1259_verbal	5	-13	left	0	0.0	0.9824	n
mart1259_verbal	5	-13	right	0	0.0	0.8636	n
mart1259_verbal	6	-12	left	0	0.0	0.6472	n
mart1259_verbal	6	-12	right	0	0.0	0.8658	n
mart1259_verbal	7	-11	left	0	0.0	0.7514	n
mart1259_verbal	7	-11	right	0	0.0	0.8562	n
mart1259_verbal	8	-10	left	0	0.0	0.8644	n
mart1259_verbal	8	-10	right	0	0.0	0.8678	n
mart1259_verbal	9	-9	left	0	0.0	0.8738	n
mart1259_verbal	9	-9	right	0	0.0	0.8658	n
mart1259_verbal	10	-8	left	0	0.0	0.8684	n
mart1259_verbal	10	-8	right	0	0.0	0.8724	n
mart1259_verbal	11	-7	left	0	0.0	0.861	n
mart1259_verbal	11	-7	right	0	0.0	0.8696	n
mart1259_verbal	12	-6	left	0	0.0	0.8656	n
mart1259_verbal	12	-6	right	0	0.0	0.8694	n
mart1259_verbal	13	-5	left	0	0.0	0.8626	n
mart1259_verbal	13	-5	right	0	0.0	0.8622	n
mart1259_verbal	14	-4	left	0	0.0	0.8722	n
mart1259_verbal	14	-4	right	0	0.0	0.8598	n
mart1259_verbal	15	-3	left	0	0.0	0.8638	n
mart1259_verbal	15	-3	right	0	0.0	0.8726	n
mart1259_verbal	16	-2	left	0	0.0	0.8546	n
mart1259_verbal	16	-2	right	0	0.0	0.865	n
mart1259_verbal	17	-1	left	6	1.0	0.0144	y
mart1259_verbal	17	-1	right	0	0.0	0.8558	n
mart1259_verbal	18	0	left	4	0.6667	0.9054	n
mart1259_verbal	18	0	right	2	0.3333	0.1302	n
mart1259_verbal	19	1	left	0	0.0	0.9828	n
mart1259_verbal	19	1	right	2	0.3333	0.8678	n
mart1259_verbal	20	2	left	0	0.0	0.8584	n
mart1259_verbal	20	2	right	6	1.0	0.0448	y
mart1259_verbal	21	3	left	0	0.0	0.8592	n
mart1259_verbal	21	3	right	0	0.0	0.997	n
mart1259_verbal	22	4	left	0	0.0	0.864	n
mart1259_verbal	22	4	right	0	0.0	0.8598	n
mart1259_verbal	23	5	left	0	0.0	0.8558	n
mart1259_verbal	23	5	right	0	0.0	0.7694	n
mart1259_verbal	24	6	left	0	0.0	0.8684	n
mart1259_verbal	24	6	right	0	0.0	0.7076	n
mart1259_verbal	25	7	left	0	0.0	0.8572	n
mart1259_verbal	25	7	right	6	1.0	0.0746	n
mart1259_verbal	26	8	left	0	0.0	0.895	n
mart1259_verbal	26	8	right	2	0.3333	0.9106	n
mart1259_verbal	27	9	left	0	0.0	0.9232	n
mart1259_verbal	27	9	right	2	0.3333	0.5974	n
moco1246_verbal	1	-6	left	0	0.0	1.0	n
moco1246_verbal	1	-6	right	0	0.0	1.0	n
moco1246_verbal	2	-5	left	0	0.0	0.587	n
moco1246_verbal	2	-5	right	0	0.0	1.0	n
moco1246_verbal	3	-4	left	5	0.1786	0.1782	n
moco1246_verbal	3	-4	right	0	0.0	0.95	n
moco1246_verbal	4	-3	left	9	0.3214	0.2404	n
moco1246_verbal	4	-3	right	0	0.0	0.9466	n
moco1246_verbal	5	-2	left	0	0.0	0.9452	n
moco1246_verbal	5	-2	right	0	0.0	0.9002	n
moco1246_verbal	6	-1	left	28	1.0	0.0	y
moco1246_verbal	6	-1	right	0	0.0	0.85	n
moco1246_verbal	7	0	left	3	0.1071	0.9996	n
moco1246_verbal	7	0	right	5	0.1786	0.0776	n
moco1246_verbal	8	1	left	0	0.0	0.7808	n
moco1246_verbal	8	1	right	0	0.0	0.952	n
moco1246_verbal	9	2	left	0	0.0	0.6132	n
moco1246_verbal	9	2	right	0	0.0	0.81	n
moco1246_verbal	10	3	left	0	0.0	0.6714	n
moco1246_verbal	10	3	right	0	0.0	0.757	n
moco1246_verbal	11	4	left	0	0.0	0.7032	n
moco1246_verbal	11	4	right	9	0.3214	0.0332	y
moco1246_verbal	12	5	left	0	0.0	0.7088	n
moco1246_verbal	12	5	right	0	0.0	0.9804	n
moco1246_verbal	13	6	left	0	0.0	0.7436	n
moco1246_verbal	13	6	right	0	0.0	0.693	n
moco1246_verbal	14	7	left	0	0.0	0.8102	n
moco1246_verbal	14	7	right	6	0.2143	0.134	n
moco1246_verbal	15	8	left	0	0.0	0.7882	n
moco1246_verbal	15	8	right	9	0.3214	0.296	n
moco1246_verbal	16	9	left	0	0.0	0.8048	n
moco1246_verbal	16	9	right	0	0.0	0.9534	n
moco1246_verbal	17	10	left	0	0.0	0.8436	n
moco1246_verbal	17	10	right	0	0.0	0.5532	n
moco1246_verbal	18	11	left	0	0.0	0.8972	n
moco1246_verbal	18	11	right	14	0.5	0.0186	y
moco1246_verbal	19	12	left	0	0.0	0.9498	n
moco1246_verbal	19	12	right	2	0.0714	0.9746	n
moco1246_verbal	20	13	left	0	0.0	0.9556	n
moco1246_verbal	20	13	right	0	0.0	0.7052	n
nyan1308	1	-9	left	69	0.2654	1.0	n
nyan1308	1	-9	right	0	0.0	1.0	n
nyan1308	2	-8	left	69	0.2654	0.2202	n
nyan1308	2	-8	right	0	0.0	1.0	n
nyan1308	3	-7	left	69	0.2654	0.3306	n
nyan1308	3	-7	right	0	0.0	0.917	n
nyan1308	4	-6	left	0	0.0	0.892	n
nyan1308	4	-6	right	0	0.0	0.7516	n
nyan1308	5	-5	left	260	1.0	0.001	y
nyan1308	5	-5	right	0	0.0	0.7342	n
nyan1308	6	-4	left	73	0.2808	0.9952	n
nyan1308	6	-4	right	24	0.0923	0.2204	n
nyan1308	7	-3	left	0	0.0	0.9118	n
nyan1308	7	-3	right	0	0.0	0.7876	n
nyan1308	8	-2	left	49	0.1885	0.1446	n
nyan1308	8	-2	right	24	0.0923	0.2554	n
nyan1308	9	-1	left	102	0.3923	0.1148	n
nyan1308	9	-1	right	0	0.0	0.781	n
nyan1308	10	0	left	79	0.3038	0.711	n
nyan1308	10	0	right	46	0.1769	0.1506	n
nyan1308	11	1	left	0	0.0	0.9492	n
nyan1308	11	1	right	0	0.0	0.8624	n
nyan1308	12	2	left	0	0.0	0.5364	n
nyan1308	12	2	right	0	0.0	0.5572	n
nyan1308	13	3	left	40	0.1538	0.171	n
nyan1308	13	3	right	33	0.1269	0.2164	n
nyan1308	14	4	left	0	0.0	0.829	n
nyan1308	14	4	right	0	0.0	0.8032	n
nyan1308	15	5	left	0	0.0	0.5458	n
nyan1308	15	5	right	40	0.1538	0.1944	n
nyan1308	16	6	left	0	0.0	0.6296	n
nyan1308	16	6	right	112	0.4308	0.0774	n
nyan1308	17	7	left	18	0.0692	0.243	n
nyan1308	17	7	right	117	0.45	0.4702	n
nyan1308	18	8	left	0	0.0	0.7526	n
nyan1308	18	8	right	69	0.2654	0.8452	n
nyan1308	19	9	left	0	0.0	0.7046	n
nyan1308	19	9	right	87	0.3346	0.4058	n
nyan1308	20	10	left	0	0.0	0.7348	n
nyan1308	20	10	right	0	0.0	0.9168	n
nyan1308	21	11	left	0	0.0	0.749	n
nyan1308	21	11	right	138	0.5308	0.0522	n
nyan1308	22	12	left	0	0.0	0.9018	n
nyan1308	22	12	right	138	0.5308	0.804	n
siks1238_verbal	1	-5	left	25	0.3521	1.0	n
siks1238_verbal	1	-5	right	0	0.0	1.0	n
siks1238_verbal	2	-4	left	0	0.0	0.8718	n
siks1238_verbal	2	-4	right	0	0.0	1.0	n
siks1238_verbal	3	-3	left	71	1.0	0.003	y
siks1238_verbal	3	-3	right	0	0.0	0.926	n
siks1238_verbal	4	-2	left	52	0.7324	0.8262	n
siks1238_verbal	4	-2	right	0	0.0	0.857	n
siks1238_verbal	5	-1	left	23	0.3239	0.9366	n
siks1238_verbal	5	-1	right	0	0.0	0.7382	n
siks1238_verbal	6	0	left	44	0.6197	0.0556	n
siks1238_verbal	6	0	right	8	0.1127	0.221	n
siks1238_verbal	7	1	left	0	0.0	0.9942	n
siks1238_verbal	7	1	right	39	0.5493	0.012	y
siks1238_verbal	8	2	left	0	0.0	0.5392	n
siks1238_verbal	8	2	right	6	0.0845	0.9932	n
siks1238_verbal	9	3	left	0	0.0	0.547	n
siks1238_verbal	9	3	right	33	0.4648	0.038	y
siks1238_verbal	10	4	left	0	0.0	0.5928	n
siks1238_verbal	10	4	right	0	0.0	0.988	n
siks1238_verbal	11	5	left	0	0.0	0.6774	n
siks1238_verbal	11	5	right	66	0.9296	0.0014	y
siks1238_verbal	12	6	left	0	0.0	0.7162	n
siks1238_verbal	12	6	right	0	0.0	0.9996	n
siks1238_verbal	13	7	left	0	0.0	0.8508	n
siks1238_verbal	13	7	right	48	0.6761	0.0344	y
siks1238_verbal	14	8	left	0	0.0	0.9246	n
siks1238_verbal	14	8	right	15	0.2113	0.8974	n
sout2991_verbal	1	-11	left	6	0.25	1.0	n
sout2991_verbal	1	-11	right	0	0.0	1.0	n
sout2991_verbal	2	-10	left	1	0.0417	0.237	n
sout2991_verbal	2	-10	right	0	0.0	1.0	n
sout2991_verbal	3	-9	left	0	0.0	0.5806	n
sout2991_verbal	3	-9	right	0	0.0	0.9714	n
sout2991_verbal	4	-8	left	0	0.0	0.4632	n
sout2991_verbal	4	-8	right	0	0.0	0.974	n
sout2991_verbal	5	-7	left	0	0.0	0.665	n
sout2991_verbal	5	-7	right	0	0.0	0.9568	n
sout2991_verbal	6	-6	left	0	0.0	0.6594	n
sout2991_verbal	6	-6	right	0	0.0	0.948	n
sout2991_verbal	7	-5	left	0	0.0	0.6652	n
sout2991_verbal	7	-5	right	0	0.0	0.9512	n
sout2991_verbal	8	-4	left	0	0.0	0.6708	n
sout2991_verbal	8	-4	right	0	0.0	0.9226	n
sout2991_verbal	9	-3	left	0	0.0	0.6608	n
sout2991_verbal	9	-3	right	0	0.0	0.9232	n
sout2991_verbal	10	-2	left	0	0.0	0.6682	n
sout2991_verbal	10	-2	right	0	0.0	0.928	n
sout2991_verbal	11	-1	left	0	0.0	0.6604	n
sout2991_verbal	11	-1	right	0	0.0	0.9026	n
sout2991_verbal	12	0	left	24	1.0	0.0044	y
sout2991_verbal	12	0	right	0	0.0	0.8726	n
sout2991_verbal	13	1	left	0	0.0	0.9966	n
sout2991_verbal	13	1	right	3	0.125	0.1106	n
sout2991_verbal	14	2	left	0	0.0	0.6612	n
sout2991_verbal	14	2	right	0	0.0	0.904	n
sout2991_verbal	15	3	left	0	0.0	0.662	n
sout2991_verbal	15	3	right	3	0.125	0.1496	n
sout2991_verbal	16	4	left	0	0.0	0.7494	n
sout2991_verbal	16	4	right	0	0.0	0.8796	n
sout2991_verbal	17	5	left	0	0.0	0.7434	n
sout2991_verbal	17	5	right	0	0.0	0.8204	n
sout2991_verbal	18	6	left	0	0.0	0.7654	n
sout2991_verbal	18	6	right	3	0.125	0.164	n
sout2991_verbal	19	7	left	0	0.0	0.7608	n
sout2991_verbal	19	7	right	0	0.0	0.863	n
sout2991_verbal	20	8	left	0	0.0	0.7722	n
sout2991_verbal	20	8	right	0	0.0	0.8052	n
sout2991_verbal	21	9	left	0	0.0	0.7804	n
sout2991_verbal	21	9	right	3	0.125	0.1746	n
sout2991_verbal	22	10	left	0	0.0	0.7772	n
sout2991_verbal	22	10	right	4	0.1667	0.2212	n
sout2991_verbal	23	11	left	0	0.0	0.801	n
sout2991_verbal	23	11	right	0	0.0	0.8814	n
sout2991_verbal	24	12	left	0	0.0	0.8104	n
sout2991_verbal	24	12	right	0	0.0	0.7728	n
sout2991_verbal	25	13	left	0	0.0	0.797	n
sout2991_verbal	25	13	right	2	0.0833	0.2192	n
sout2991_verbal	26	14	left	0	0.0	0.7984	n
sout2991_verbal	26	14	right	2	0.0833	0.7686	n
sout2991_verbal	27	15	left	0	0.0	0.8238	n
sout2991_verbal	27	15	right	0	0.0	0.8086	n
sout2991_verbal	28	16	left	0	0.0	0.828	n
sout2991_verbal	28	16	right	0	0.0	0.746	n
sout2991_verbal	29	17	left	0	0.0	0.8234	n
sout2991_verbal	29	17	right	4	0.1667	0.2136	n
sout2991_verbal	30	18	left	0	0.0	0.856	n
sout2991_verbal	30	18	right	0	0.0	0.8452	n
sout2991_verbal	31	19	left	0	0.0	0.8752	n
sout2991_verbal	31	19	right	0	0.0	0.6632	n
sout2991_verbal	32	20	left	0	0.0	0.873	n
sout2991_verbal	32	20	right	0	0.0	0.6738	n
sout2991_verbal	33	21	left	0	0.0	0.8788	n
sout2991_verbal	33	21	right	0	0.0	0.6564	n
sout2991_verbal	34	22	left	0	0.0	0.8974	n
sout2991_verbal	34	22	right	0	0.0	0.6644	n
sout2991_verbal	35	23	left	0	0.0	0.9284	n
sout2991_verbal	35	23	right	0	0.0	0.657	n
sout2991_verbal	36	24	left	0	0.0	0.9258	n
sout2991_verbal	36	24	right	0	0.0	0.6554	n
sout2991_verbal	37	25	left	0	0.0	0.9282	n
sout2991_verbal	37	25	right	0	0.0	0.6658	n
sout2991_verbal	38	26	left	0	0.0	0.9546	n
sout2991_verbal	38	26	right	1	0.0417	0.3364	n
sout2991_verbal	39	27	left	0	0.0	0.951	n
sout2991_verbal	39	27	right	0	0.0	0.6934	n
sout2991_verbal	40	28	left	0	0.0	0.9504	n
sout2991_verbal	40	28	right	1	0.0417	0.539	n
sout2991_verbal	41	29	left	0	0.0	0.9776	n
sout2991_verbal	41	29	right	2	0.0833	0.4394	n
sout2991_verbal	42	30	left	0	0.0	0.9732	n
sout2991_verbal	42	30	right	3	0.125	0.855	n
teot1238_nominal	1	-7	left	11	0.5789	1.0	n
teot1238_nominal	1	-7	right	0	0.0	1.0	n
teot1238_nominal	2	-6	left	0	0.0	0.7682	n
teot1238_nominal	2	-6	right	0	0.0	1.0	n
teot1238_nominal	3	-5	left	3	0.1579	0.2636	n
teot1238_nominal	3	-5	right	0	0.0	0.9008	n
teot1238_nominal	4	-4	left	0	0.0	0.7896	n
teot1238_nominal	4	-4	right	0	0.0	0.8598	n
teot1238_nominal	5	-3	left	0	0.0	0.5916	n
teot1238_nominal	5	-3	right	0	0.0	0.7734	n
teot1238_nominal	6	-2	left	19	1.0	0.0014	y
teot1238_nominal	6	-2	right	0	0.0	0.7812	n
teot1238_nominal	7	-1	left	3	0.1579	0.9962	n
teot1238_nominal	7	-1	right	0	0.0	0.788	n
teot1238_nominal	8	0	left	10	0.5263	0.0874	n
teot1238_nominal	8	0	right	6	0.3158	0.0772	n
teot1238_nominal	9	1	left	0	0.0	0.9736	n
teot1238_nominal	9	1	right	14	0.7368	0.0462	y
teot1238_nominal	10	2	left	0	0.0	0.6972	n
teot1238_nominal	10	2	right	0	0.0	0.9976	n
teot1238_nominal	11	3	left	0	0.0	0.7026	n
teot1238_nominal	11	3	right	3	0.1579	0.2224	n
teot1238_nominal	12	4	left	0	0.0	0.7082	n
teot1238_nominal	12	4	right	6	0.3158	0.2364	n
teot1238_nominal	13	5	left	0	0.0	0.7022	n
teot1238_nominal	13	5	right	0	0.0	0.9432	n
teot1238_nominal	14	6	left	0	0.0	0.752	n
teot1238_nominal	14	6	right	0	0.0	0.6128	n
teot1238_nominal	15	7	left	0	0.0	0.7438	n
teot1238_nominal	15	7	right	3	0.1579	0.282	n
teot1238_nominal	16	8	left	0	0.0	0.7712	n
teot1238_nominal	16	8	right	0	0.0	0.78	n
teot1238_nominal	17	9	left	0	0.0	0.787	n
teot1238_nominal	17	9	right	0	0.0	0.5894	n
teot1238_nominal	18	10	left	0	0.0	0.7704	n
teot1238_nominal	18	10	right	0	0.0	0.5896	n
teot1238_nominal	19	11	left	0	0.0	0.8532	n
teot1238_nominal	19	11	right	0	0.0	0.5862	n
teot1238_nominal	20	12	left	0	0.0	0.8944	n
teot1238_nominal	20	12	right	14	0.7368	0.1582	n
teot1238_verbal	1	-11	left	12	0.5455	1.0	n
teot1238_verbal	1	-11	right	0	0.0	1.0	n
teot1238_verbal	2	-10	left	0	0.0	0.8582	n
teot1238_verbal	2	-10	right	0	0.0	1.0	n
teot1238_verbal	3	-9	left	4	0.1818	0.1504	n
teot1238_verbal	3	-9	right	0	0.0	1.0	n
teot1238_verbal	4	-8	left	9	0.4091	0.106	n
teot1238_verbal	4	-8	right	0	0.0	0.9618	n
teot1238_verbal	5	-7	left	0	0.0	0.9834	n
teot1238_verbal	5	-7	right	0	0.0	0.8908	n
teot1238_verbal	6	-6	left	0	0.0	0.6694	n
teot1238_verbal	6	-6	right	0	0.0	0.8906	n
teot1238_verbal	7	-5	left	0	0.0	0.672	n
teot1238_verbal	7	-5	right	0	0.0	0.857	n
teot1238_verbal	8	-4	left	0	0.0	0.6652	n
teot1238_verbal	8	-4	right	0	0.0	0.8618	n
teot1238_verbal	9	-3	left	0	0.0	0.6708	n
teot1238_verbal	9	-3	right	0	0.0	0.8624	n
teot1238_verbal	10	-2	left	22	1.0	0.0	y
teot1238_verbal	10	-2	right	0	0.0	0.8204	n
teot1238_verbal	11	-1	left	9	0.4091	0.998	n
teot1238_verbal	11	-1	right	0	0.0	0.8288	n
teot1238_verbal	12	0	left	0	0.0	0.9892	n
teot1238_verbal	12	0	right	5	0.2273	0.0758	n
teot1238_verbal	13	1	left	0	0.0	0.698	n
teot1238_verbal	13	1	right	5	0.2273	0.7908	n
teot1238_verbal	14	2	left	0	0.0	0.7044	n
teot1238_verbal	14	2	right	11	0.5	0.058	n
teot1238_verbal	15	3	left	0	0.0	0.6862	n
teot1238_verbal	15	3	right	10	0.4545	0.7684	n
teot1238_verbal	16	4	left	0	0.0	0.725	n
teot1238_verbal	16	4	right	0	0.0	0.9926	n
teot1238_verbal	17	5	left	0	0.0	0.7596	n
teot1238_verbal	17	5	right	0	0.0	0.6846	n
teot1238_verbal	18	6	left	0	0.0	0.7838	n
teot1238_verbal	18	6	right	0	0.0	0.7102	n
teot1238_verbal	19	7	left	0	0.0	0.7852	n
teot1238_verbal	19	7	right	2	0.0909	0.297	n
teot1238_verbal	20	8	left	0	0.0	0.8284	n
teot1238_verbal	20	8	right	0	0.0	0.7986	n
teot1238_verbal	21	9	left	0	0.0	0.8254	n
teot1238_verbal	21	9	right	0	0.0	0.6576	n
teot1238_verbal	22	10	left	0	0.0	0.8664	n
teot1238_verbal	22	10	right	5	0.2273	0.1062	n
teot1238_verbal	23	11	left	0	0.0	0.8672	n
teot1238_verbal	23	11	right	3	0.1364	0.8014	n
teot1238_verbal	24	12	left	0	0.0	0.8598	n
teot1238_verbal	24	12	right	3	0.1364	0.6624	n
teot1238_verbal	25	13	left	0	0.0	0.8976	n
teot1238_verbal	25	13	right	0	0.0	0.8588	n
teot1238_verbal	26	14	left	0	0.0	0.8838	n
teot1238_verbal	26	14	right	0	0.0	0.6618	n
teot1238_verbal	27	15	left	0	0.0	0.9632	n
teot1238_verbal	27	15	right	0	0.0	0.6618	n
teot1238_verbal	28	16	left	0	0.0	1.0	n
teot1238_verbal	28	16	right	12	0.5455	0.1864	n
yucu1253_verbal	1	-9	left	7	0.4375	1.0	n
yucu1253_verbal	1	-9	right	0	0.0	1.0	n
yucu1253_verbal	2	-8	left	0	0.0	0.2348	n
yucu1253_verbal	2	-8	right	0	0.0	1.0	n
yucu1253_verbal	3	-7	left	0	0.0	0.573	n
yucu1253_verbal	3	-7	right	0	0.0	0.9484	n
yucu1253_verbal	4	-6	left	1	0.0625	0.4308	n
yucu1253_verbal	4	-6	right	0	0.0	0.9016	n
yucu1253_verbal	5	-5	left	0	0.0	0.6408	n
yucu1253_verbal	5	-5	right	0	0.0	0.85	n
yucu1253_verbal	6	-4	left	1	0.0625	0.4258	n
yucu1253_verbal	6	-4	right	0	0.0	0.8482	n
yucu1253_verbal	7	-3	left	0	0.0	0.637	n
yucu1253_verbal	7	-3	right	0	0.0	0.8594	n
yucu1253_verbal	8	-2	left	8	0.5	0.1082	n
yucu1253_verbal	8	-2	right	0	0.0	0.7752	n
yucu1253_verbal	9	-1	left	12	0.75	0.2058	n
yucu1253_verbal	9	-1	right	0	0.0	0.7118	n
yucu1253_verbal	10	0	left	16	1.0	0.2402	n
yucu1253_verbal	10	0	right	5	0.3125	0.1686	n
yucu1253_verbal	11	1	left	0	0.0	0.9876	n
yucu1253_verbal	11	1	right	0	0.0	0.8566	n
yucu1253_verbal	12	2	left	0	0.0	0.62	n
yucu1253_verbal	12	2	right	2	0.125	0.3786	n
yucu1253_verbal	13	3	left	0	0.0	0.6182	n
yucu1253_verbal	13	3	right	4	0.25	0.3264	n
yucu1253_verbal	14	4	left	0	0.0	0.617	n
yucu1253_verbal	14	4	right	0	0.0	0.8394	n
yucu1253_verbal	15	5	left	0	0.0	0.6934	n
yucu1253_verbal	15	5	right	0	0.0	0.5584	n
yucu1253_verbal	16	6	left	0	0.0	0.7606	n
yucu1253_verbal	16	6	right	6	0.375	0.169	n
yucu1253_verbal	17	7	left	0	0.0	0.8678	n
yucu1253_verbal	17	7	right	6	0.375	0.5624	n
yucu1253_verbal	18	8	left	0	0.0	0.857	n
yucu1253_verbal	18	8	right	2	0.125	0.7988	n
yucu1253_verbal	19	9	left	0	0.0	0.8606	n
yucu1253_verbal	19	9	right	2	0.125	0.5732	n
yucu1253_verbal	20	10	left	0	0.0	0.9064	n
yucu1253_verbal	20	10	right	4	0.25	0.375	n
yucu1253_verbal	21	11	left	0	0.0	0.9492	n
yucu1253_verbal	21	11	right	14	0.875	0.6442	n
zenz1235_verbal	1	-12	left	5	0.625	1.0	n
zenz1235_verbal	1	-12	right	0	0.0	1.0	n
zenz1235_verbal	2	-11	left	5	0.625	0.1486	n
zenz1235_verbal	2	-11	right	0	0.0	1.0	n
zenz1235_verbal	3	-10	left	2	0.25	0.7054	n
zenz1235_verbal	3	-10	right	0	0.0	1.0	n
zenz1235_verbal	4	-9	left	1	0.125	0.525	n
zenz1235_verbal	4	-9	right	0	0.0	1.0	n
zenz1235_verbal	5	-8	left	1	0.125	0.6296	n
zenz1235_verbal	5	-8	right	0	0.0	0.9424	n
zenz1235_verbal	6	-7	left	0	0.0	0.7242	n
zenz1235_verbal	6	-7	right	0	0.0	0.8918	n
zenz1235_verbal	7	-6	left	8	1.0	0.0246	y
zenz1235_verbal	7	-6	right	0	0.0	0.8984	n
zenz1235_verbal	8	-5	left	0	0.0	0.9828	n
zenz1235_verbal	8	-5	right	0	0.0	0.8438	n
zenz1235_verbal	9	-4	left	0	0.0	0.6092	n
zenz1235_verbal	9	-4	right	0	0.0	0.752	n
zenz1235_verbal	10	-3	left	6	0.75	0.0524	n
zenz1235_verbal	10	-3	right	0	0.0	0.7556	n
zenz1235_verbal	11	-2	left	0	0.0	0.9626	n
zenz1235_verbal	11	-2	right	0	0.0	0.73	n
zenz1235_verbal	12	-1	left	0	0.0	0.6778	n
zenz1235_verbal	12	-1	right	0	0.0	0.7086	n
zenz1235_verbal	13	0	left	1	0.125	0.241	n
zenz1235_verbal	13	0	right	8	1.0	0.0196	y
zenz1235_verbal	14	1	left	0	0.0	0.7852	n
zenz1235_verbal	14	1	right	2	0.25	0.9766	n
zenz1235_verbal	15	2	left	0	0.0	0.75	n
zenz1235_verbal	15	2	right	0	0.0	0.8228	n
zenz1235_verbal	16	3	left	0	0.0	0.854	n
zenz1235_verbal	16	3	right	3	0.375	0.1758	n
zenz1235_verbal	17	4	left	0	0.0	0.8988	n
zenz1235_verbal	17	4	right	6	0.75	0.1848	n
zenz1235_verbal	18	5	left	0	0.0	0.894	n
zenz1235_verbal	18	5	right	0	0.0	0.9638	n
zenz1235_verbal	19	6	left	0	0.0	0.9448	n
zenz1235_verbal	19	6	right	0	0.0	0.7366	n
zenz1235_verbal	20	7	left	0	0.0	1.0	n
zenz1235_verbal	20	7	right	5	0.625	0.2336	n
zenz1235_verbal	21	8	left	0	0.0	1.0	n
zenz1235_verbal	21	8	right	5	0.625	0.9012	n
