position	left_summed	left_capped	right_summed	right_capped
1	3	3	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	5	2	0	0
10	4	2	1	1
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	4	3
17	0	0	2	2
18	0	0	1	1
19	0	0	1	1
20	0	0	0	0
21	0	0	3	3
