Element	Position_Name	Position_Number	V-combines	N-combines	A-combines
ADV	LeftEdge	1			
Q/TOP	LeftFocus	2			
NP{S}	Subject	3			
not	Neg1Pos	4			
[over-]	VerbalProdPfx	5			
[re-]	VerbalProdPfx	5			
[un-]	VerbalProdPfx	5			
[under-]	VerbalProdPfx	5			
[ex-]	VerbalLatPfx	6			
[in-]	VerbalLatPfx	6			
Vroot	Keystone	7	NA	NA	NA
[-ed]	VerbInflSfx	8			
[-ing]	VerbInflSfx	8			
[-s]	VerbInflSfx	8			
not	Neg2Pos	9			
NP{P}	Object	10			
ADV	RightEdge	11			
