tree_number	newick	group_spans	strengths
1	(1,2,(3,((4,5,6,(7,8,9,10,11)7-11,12,13,14,15)4-15,16,17,18)4-18)3-18,19,20)1-20;	1-20;3-18;4-18;4-15;7-11	1.4142;1.0;1.0;1.0;1.4142
2	(1,2,3,4,5,(6,(7,8,9,10,11)7-11,12,13,14,15,16,17,18,19)6-19,20)1-20;	1-20;6-19;7-11	1.4142;1.0;1.4142
